idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,PagDiagnosiDiGravidanza,DataAnalisiPag,NumeroCampionePag
-9223372036723834329,-9223372036848645095,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,16.0
-9223372036723834334,-9223372036848654361,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,12.0
-9223372036723834339,-9223372036848661530,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,2.0
-9223372036723834475,-9223372036848661114,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,91.0
-9223372036723834666,-9223372036848621532,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,358.0
-9223372036723834669,-9223372036848624554,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,353.0
-9223372036723834671,-9223372036848629170,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,342.0
-9223372036723834673,-9223372036848632299,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,340.0
-9223372036723834674,-9223372036848632300,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,345.0
-9223372036723834675,-9223372036848632353,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,341.0
-9223372036723834688,-9223372036848661719,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,259.0
-9223372036723834692,-9223372036849887615,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,357.0
-9223372036723834699,-9223372036848659371,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,43.0
-9223372036723834700,-9223372036848660291,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,40.0
-9223372036723834701,-9223372036849095193,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,48.0
-9223372036723834705,-9223372036849312638,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,49.0
-9223372036723834810,-9223372036848624522,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,81.0
-9223372036723834813,-9223372036848632348,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,78.0
-9223372036723834816,-9223372036848637197,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,76.0
-9223372036723834830,-9223372036848624518,21,BZ,C4,11,20,11,2017,POSITIVA,2017-11-20,278.0
-9223372036723834859,-9223372036848629511,21,BZ,C4,11,6,11,2017,POSITIVA,2017-11-06,19.0
-9223372036723835106,-9223372036848653938,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,70.0
-9223372036723835107,-9223372036848659881,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,65.0
-9223372036723835112,-9223372036848662006,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,1.0
-9223372036723835154,-9223372036848626505,21,BZ,C4,11,8,11,2017,NEGATIVA,2017-11-08,60.0
-9223372036723835186,-9223372036848650979,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,302.0
-9223372036723835190,-9223372036848655035,21,BZ,C4,11,16,11,2017,RIVEDIBILE,2017-11-16,282.0
-9223372036723835192,-9223372036848657317,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,281.0
-9223372036723835233,-9223372036848649810,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,113.0
-9223372036723835238,-9223372036848659385,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,98.0
-9223372036723835391,-9223372036849131823,21,BZ,C4,11,12,11,2017,POSITIVA,2017-11-12,25.0
-9223372036723835458,-9223372036849507197,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,45.0
-9223372036723835510,-9223372036848623775,21,BZ,C4,11,25,11,2017,POSITIVA,2017-11-25,64.0
-9223372036723835516,-9223372036848648361,21,BZ,C4,11,25,11,2017,POSITIVA,2017-11-25,58.0
-9223372036723835517,-9223372036848653143,21,BZ,C4,11,25,11,2017,POSITIVA,2017-11-25,53.0
-9223372036723835519,-9223372036848661125,21,BZ,C4,11,25,11,2017,POSITIVA,2017-11-25,44.0
-9223372036723835591,-9223372036848661123,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,54.0
-9223372036723835718,-9223372036848662537,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,64.0
-9223372036723835752,-9223372036848644395,21,BZ,C4,11,6,11,2017,POSITIVA,2017-11-06,13.0
-9223372036723835759,-9223372036848653028,21,BZ,C4,11,6,11,2017,POSITIVA,2017-11-06,11.0
-9223372036723835918,-9223372036849139085,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,2.0
-9223372036723835934,-9223372036848607202,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,51.0
-9223372036723835944,-9223372036848645725,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,44.0
-9223372036723835948,-9223372036848654752,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,40.0
-9223372036723835950,-9223372036848656342,21,BZ,C4,11,13,11,2017,NEGATIVA,2017-11-13,38.0
-9223372036723836025,-9223372036848654739,21,BZ,C4,11,14,11,2017,POSITIVA,2017-11-14,80.0
-9223372036723836512,-9223372036848652196,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,72.0
-9223372036723836569,-9223372036848630154,21,BZ,C4,11,8,11,2017,POSITIVA,2017-11-08,44.0
-9223372036723836652,-9223372036848659579,21,BZ,C4,11,10,11,2017,POSITIVA,2017-11-10,39.0
-9223372036723836673,-9223372036848630178,21,BZ,C4,11,5,11,2017,POSITIVA,2017-11-05,55.0
-9223372036723836765,-9223372036848638145,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,126.0
-9223372036723836770,-9223372036848658323,21,BZ,C4,11,3,11,2017,NEGATIVA,2017-11-03,108.0
-9223372036723836773,-9223372036848647140,21,BZ,C4,11,8,11,2017,POSITIVA,2017-11-08,38.0
-9223372036723836794,-9223372036848641416,21,BZ,C4,11,30,11,2017,POSITIVA,2017-11-30,69.0
-9223372036723836866,-9223372036848651606,21,BZ,C4,11,14,11,2017,POSITIVA,2017-11-14,22.0
-9223372036723836947,-9223372036848655761,21,BZ,C4,11,25,11,2017,NEGATIVA,2017-11-25,47.0
-9223372036723837024,-9223372036848638166,21,BZ,C4,11,26,11,2017,POSITIVA,2017-11-26,90.0
