"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","DataIdentificazioneUnivoca","IdentificazioneSoggetto"
-9223372036155485184,-9223372036849553408,10,"GE","C4",11,3,2,2018,"2018-02-03",-9223372036849552384
-9223372036155537408,-9223372036849960960,28,"PD","C4",11,4,2,2018,"2018-02-04",-9223372036849959936
-9223372036155544576,-9223372036846592000,1,"TO","C4",11,2,2,2018,"2018-02-02",-9223372036846592000
-9223372036155601920,-9223372036847143936,17,"BS","C4",11,28,2,2018,"2018-02-28",-9223372036847143936
-9223372036155622400,-9223372036847267840,1,"TO","C4",11,6,2,2018,"2018-02-06",-9223372036847267840
-9223372036155643904,-9223372036847377408,21,"BZ","C4",11,23,2,2018,"2018-02-23",-9223372036847376384
-9223372036155678720,-9223372036849214464,28,"PD","C4",11,4,2,2018,"2018-02-04",-9223372036849214464
-9223372036155750400,-9223372036849398784,21,"BZ","C4",11,5,2,2018,"2018-02-05",-9223372036849399808
-9223372036067416064,-9223372036843953152,21,"BZ","C4",11,30,3,2018,"2018-03-30",-9223372036843952128
-9223372036083900416,-9223372036844229632,2,"VC","C4",11,22,3,2018,"2018-03-22",-9223372036844229632
-9223372036086981632,-9223372036844358656,21,"BZ","C4",11,10,3,2018,"2018-03-10",-9223372036844359680
-9223372036112838656,-9223372036846613504,21,"BZ","C4",11,23,3,2018,"2018-03-23",-9223372036846613504
-9223372036154894336,-9223372036847362048,14,"SO","C4",11,25,3,2018,"2018-03-25",-9223372036847362048
-9223372036155004928,-9223372036849675264,24,"VI","C4",11,20,3,2018,"2018-03-20",-9223372036849676288
-9223372036155233280,-9223372036849257472,21,"BZ","C4",11,2,3,2018,"2018-03-02",-9223372036849256448
-9223372036155278336,-9223372036846624768,93,"PN","C4",11,23,3,2018,"2018-03-23",-9223372036846623744
-9223372036155296768,-9223372036849340416,21,"BZ","C4",11,3,3,2018,"2018-03-03",-9223372036849340416
-9223372036155297792,-9223372036847371264,1,"TO","C4",11,22,3,2018,"2018-03-22",-9223372036847372288
-9223372036155393024,-9223372036849255424,96,"BI","C4",11,3,3,2018,"2018-03-03",-9223372036849256448
