"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","CodiceAziendaNascita","DestinazioneSoggetto","PesoAllaNascita","NumeroCapezzoli","date_formatted"
-9223372030275702784,-9223372036832276480,21,"BZ","C4",11,15,7,2017,-9223372036847391744,"Vita",NA,NA,2017-07-15
-9223372033230406656,-9223372036834494464,21,"BZ","C4",11,15,7,2017,-9223372036834494464,"Vita",NA,NA,2017-07-15
-9223372036114315264,-9223372036845990912,10,"GE","C4",11,15,7,2017,-9223372036849185792,"Vita",NA,NA,2017-07-15
-9223372035260921856,-9223372036836886528,21,"BZ","C4",11,16,7,2017,-9223372036849172480,"Vita",NA,NA,2017-07-16
-9223372036106147840,-9223372036846605312,21,"BZ","C4",11,16,7,2017,-9223372036849261568,"Vita",NA,NA,2017-07-16
-9223372036095859712,-9223372036847960064,21,"BZ","C4",11,21,7,2017,-9223372036849261568,"Vita",NA,NA,2017-07-21
-9223372036087068672,-9223372036847928320,21,"BZ","C4",11,22,7,2017,-9223372036849259520,"Vita",NA,NA,2017-07-22
-9223372036088252416,-9223372036847932416,21,"BZ","C4",11,24,7,2017,-9223372036849263616,"Vita",NA,NA,2017-07-24
-9223372036083215360,-9223372036847883264,21,"BZ","C4",11,1,8,2017,-9223372036849261568,"Vita",NA,NA,2017-08-01
-9223372036049475584,-9223372036843106304,21,"BZ","C4",11,9,8,2017,-9223372036847408128,"Vita",NA,NA,2017-08-09
-9223372036093982720,-9223372036847953920,21,"BZ","C4",11,13,8,2017,-9223372036849259520,"Vita",NA,NA,2017-08-13
-9223372036085399552,-9223372036847922176,21,"BZ","C4",11,15,8,2017,-9223372036849258496,"Vita",NA,NA,2017-08-15
-9223372036083211264,-9223372036847912960,21,"BZ","C4",11,19,8,2017,-9223372036849261568,"Vita",NA,NA,2017-08-19
-9223372036107116544,-9223372036845590528,21,"BZ","C4",11,21,8,2017,-9223372036849261568,"Vita",NA,NA,2017-08-21
-9223372036091236352,-9223372036847944704,21,"BZ","C4",11,22,8,2017,-9223372036849259520,"Vita",NA,NA,2017-08-22
-9223372036119349248,-9223372036847921152,22,"TN","C4",11,22,8,2017,-9223372036849256448,"Vita",NA,NA,2017-08-22
-9223372036088737792,-9223372036847934464,21,"BZ","C4",11,23,8,2017,-9223372036849261568,"Vita",NA,NA,2017-08-23
-9223372033298912256,-9223372036846945280,21,"BZ","C4",11,26,8,2017,-9223372036847410176,"Macello",NA,NA,2017-08-26
-9223372036120735744,-9223372036846174208,21,"BZ","C4",11,26,8,2017,-9223372036849259520,"Macello",NA,NA,2017-08-26
-9223372036113831936,-9223372036845964288,22,"TN","C4",11,28,8,2017,-9223372036849256448,"Macello",NA,NA,2017-08-28
