idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza
-9223372036216471744,-9223372036848657475,21,BZ,C4,11,29,11,2017,2017-11-29,POSITIVA
-9223372036216472451,-9223372036848660709,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216472842,-9223372036848656913,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036216472855,-9223372036848658528,21,BZ,C4,11,13,11,2017,2017-11-13,NEGATIVA
-9223372036216472876,-9223372036848629771,21,BZ,C4,11,16,11,2017,2017-11-16,POSITIVA
-9223372036216473089,-9223372036848628097,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA
-9223372036216473097,-9223372036848637870,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA
-9223372036216473255,-9223372036848634663,21,BZ,C4,11,19,11,2017,2017-11-19,RIVEDIBILE
-9223372036216473288,-9223372036848662058,21,BZ,C4,11,7,11,2017,2017-11-07,NEGATIVA
-9223372036216473340,-9223372036848636819,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA
-9223372036216473341,-9223372036848644058,21,BZ,C4,11,4,11,2017,2017-11-04,NEGATIVA
-9223372036216473526,-9223372036849119185,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA
-9223372036216473550,-9223372036848653984,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216473568,-9223372036848644112,21,BZ,C4,11,28,11,2017,2017-11-28,RIVEDIBILE
-9223372036216473664,-9223372036848660254,21,BZ,C4,11,2,11,2017,2017-11-02,POSITIVA
-9223372036216473781,-9223372036848633481,21,BZ,C4,11,13,11,2017,2017-11-13,NEGATIVA
-9223372036216473800,-9223372036848642416,21,BZ,C4,11,8,11,2017,2017-11-08,POSITIVA
-9223372036216473959,-9223372036848662379,21,BZ,C4,11,13,11,2017,2017-11-13,NEGATIVA
-9223372036216474228,-9223372036848622696,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA
-9223372036216474230,-9223372036848655693,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA
-9223372036216474237,-9223372036848654199,21,BZ,C4,11,18,11,2017,2017-11-18,POSITIVA
-9223372036216474439,-9223372036848662480,21,BZ,C4,11,1,11,2017,2017-11-01,NEGATIVA
-9223372036216474458,-9223372036848640248,21,BZ,C4,11,2,11,2017,2017-11-02,POSITIVA
-9223372036216474922,-9223372036848632299,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036216474923,-9223372036848632300,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036216474924,-9223372036848632353,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036216474929,-9223372036849312638,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA
-9223372036216475250,-9223372036848622589,21,BZ,C4,11,30,11,2017,2017-11-30,POSITIVA
-9223372036216475327,-9223372036848624522,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA
-9223372036216475335,-9223372036848629511,21,BZ,C4,11,6,11,2017,2017-11-06,POSITIVA
-9223372036216475727,-9223372036848661719,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036216475728,-9223372036849887615,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036216475730,-9223372036849095193,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA
-9223372036216475772,-9223372036848649810,21,BZ,C4,11,3,11,2017,2017-11-03,POSITIVA
-9223372036216476518,-9223372036849131823,21,BZ,C4,11,12,11,2017,2017-11-12,POSITIVA
-9223372036216476537,-9223372036848623775,21,BZ,C4,11,25,11,2017,2017-11-25,POSITIVA
-9223372036216476541,-9223372036848653143,21,BZ,C4,11,25,11,2017,2017-11-25,POSITIVA
-9223372036216477046,-9223372036848035169,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA
-9223372036216477049,-9223372036848654752,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA
-9223372036216477220,-9223372036848630178,21,BZ,C4,11,5,11,2017,2017-11-05,POSITIVA
-9223372036216477238,-9223372036848658323,21,BZ,C4,11,3,11,2017,2017-11-03,NEGATIVA
-9223372036216477657,-9223372036848638166,21,BZ,C4,11,26,11,2017,2017-11-26,POSITIVA
-9223372036216477977,-9223372036848659027,21,BZ,C4,11,16,11,2017,2017-11-16,POSITIVA
-9223372036216477983,-9223372036848644950,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA
-9223372036216478221,-9223372036848656344,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA
-9223372036216478675,-9223372036848656345,21,BZ,C4,11,9,11,2017,2017-11-09,NEGATIVA
-9223372036216478803,-9223372036848628620,21,BZ,C4,11,14,11,2017,2017-11-14,NEGATIVA
-9223372036216478845,-9223372036848653075,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA
-9223372036216478860,-9223372036848635156,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA
-9223372036216478863,-9223372036849134702,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA
-9223372036216478876,-9223372036849122848,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036216479229,-9223372036848662305,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216480116,-9223372036848658020,21,BZ,C4,11,25,11,2017,2017-11-25,NEGATIVA
-9223372036216480139,-9223372036848636176,21,BZ,C4,11,1,11,2017,2017-11-01,POSITIVA
-9223372036216480594,-9223372036848659224,21,BZ,C4,11,30,11,2017,2017-11-30,NEGATIVA
-9223372036216480611,-9223372036848626021,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA
-9223372036216480630,-9223372036848645095,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216481028,-9223372036848661114,21,BZ,C4,11,16,11,2017,2017-11-16,POSITIVA
-9223372036216481062,-9223372036848621532,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036216481063,-9223372036848624554,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036216481064,-9223372036848629170,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036216481460,-9223372036848637197,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA
-9223372036216481463,-9223372036848624518,21,BZ,C4,11,20,11,2017,2017-11-20,POSITIVA
-9223372036216481513,-9223372036848626505,21,BZ,C4,11,8,11,2017,2017-11-08,NEGATIVA
-9223372036216481521,-9223372036848657317,21,BZ,C4,11,16,11,2017,2017-11-16,POSITIVA
-9223372036216481902,-9223372036848644395,21,BZ,C4,11,6,11,2017,2017-11-06,POSITIVA
-9223372036216482788,-9223372036848630154,21,BZ,C4,11,8,11,2017,2017-11-08,POSITIVA
-9223372036216483193,-9223372036848647140,21,BZ,C4,11,8,11,2017,2017-11-08,POSITIVA
-9223372036216483212,-9223372036848651606,21,BZ,C4,11,14,11,2017,2017-11-14,POSITIVA
-9223372036216483640,-9223372036848660600,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA
-9223372036216483642,-9223372036849135504,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA
-9223372036216484154,-9223372036848634404,21,BZ,C4,11,24,11,2017,2017-11-24,NEGATIVA
-9223372036216860829,-9223372036850039754,16,BG,C4,11,27,11,2017,2017-11-27,POSITIVA
-9223372036216884726,-9223372036849604464,16,BG,C4,11,27,11,2017,2017-11-27,POSITIVA
-9223372036216955525,-9223372036848654993,2,VC,C4,11,16,11,2017,2017-11-16,POSITIVA
-9223372036216956393,-9223372036850108146,2,VC,C4,11,16,11,2017,2017-11-16,POSITIVA
-9223372036217027514,-9223372036850184623,24,VI,C4,11,26,11,2017,2017-11-26,POSITIVA
-9223372036217029282,-9223372036848570515,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217029284,-9223372036848574308,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217029289,-9223372036850176197,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217029290,-9223372036850183266,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217029295,-9223372036850186277,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217049027,-9223372036849525748,24,VI,C4,11,26,11,2017,2017-11-26,POSITIVA
-9223372036217049720,-9223372036848568764,24,VI,C4,11,26,11,2017,2017-11-26,POSITIVA
-9223372036217049798,-9223372036850176144,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217049803,-9223372036850185867,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217049804,-9223372036850185944,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217049806,-9223372036850185986,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217050182,-9223372036850186373,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217050183,-9223372036850186579,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217050830,-9223372036848662213,24,VI,C4,11,28,11,2017,2017-11-28,NEGATIVA
-9223372036217050833,-9223372036850183361,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217050834,-9223372036850185840,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217050836,-9223372036850185920,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217050838,-9223372036850185968,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217050839,-9223372036850186240,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217051486,-9223372036850183323,24,VI,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036217051487,-9223372036850183357,24,VI,C4,11,28,11,2017,2017-11-28,NEGATIVA
