idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,CodiceAziendaNascita,DestinazioneSoggetto,PesoAllaNascita,NumeroCapezzoli
-9223372036105436481,-9223372036848009843,21,BZ,C4,11,10,2,2017,-9.223372036849262e+18,Vita,,
-9223372036105452113,-9223372036848009928,21,BZ,C4,11,18,2,2017,-9.223372036849264e+18,Vita,,
-9223372036105454446,-9223372036848009938,21,BZ,C4,11,25,2,2017,-9.223372036849264e+18,Vita,,
-9223372036105896153,-9223372036848013300,21,BZ,C4,11,24,2,2017,-9.223372036849263e+18,Vita,,
-9223372036105896595,-9223372036848013304,21,BZ,C4,11,5,2,2017,-9.223372036849264e+18,Vita,,
-9223372036105970544,-9223372036846327149,21,BZ,C4,11,27,2,2017,-9.223372036847412e+18,Macello,,
-9223372036106145405,-9223372036848015337,21,BZ,C4,11,22,2,2017,-9.223372036849263e+18,Vita,,
-9223372036106205476,-9223372036848015348,21,BZ,C4,11,25,2,2017,-9.223372036849263e+18,Vita,,
-9223372036106205491,-9223372036848015347,21,BZ,C4,11,15,2,2017,-9.223372036849263e+18,Vita,,
-9223372036106602814,-9223372036848018038,21,BZ,C4,11,2,2,2017,-9.223372036849262e+18,Vita,,
-9223372036106604199,-9223372036848018046,21,BZ,C4,11,2,2,2017,-9.223372036849262e+18,Vita,,
-9223372036106606286,-9223372036848018061,21,BZ,C4,11,25,2,2017,-9.223372036849262e+18,Vita,,
-9223372036106956283,-9223372036848117760,21,BZ,C4,11,17,2,2017,-9.223372036849262e+18,Vita,,
-9223372036107435747,-9223372036848117559,21,BZ,C4,11,13,2,2017,-9.223372036849262e+18,Vita,,
-9223372036107646129,-9223372036848118593,21,BZ,C4,11,12,2,2017,-9.223372036849262e+18,Vita,,
-9223372036107996926,-9223372036848118830,21,BZ,C4,11,3,2,2017,-9.223372036849261e+18,Vita,,
-9223372036107996928,-9223372036848118831,21,BZ,C4,11,2,2,2017,-9.223372036849261e+18,Vita,,
-9223372036107997515,-9223372036848117827,21,BZ,C4,11,4,2,2017,-9.223372036849261e+18,Vita,,
-9223372036108001434,-9223372036848119259,21,BZ,C4,11,13,2,2017,-9.223372036849262e+18,Vita,,
-9223372036108010775,-9223372036848120175,21,BZ,C4,11,7,2,2017,-9.223372036849263e+18,Vita,,
-9223372036108330601,-9223372036848119260,21,BZ,C4,11,8,2,2017,-9.223372036849262e+18,Vita,,
-9223372036108334720,-9223372036848123452,21,BZ,C4,11,20,2,2017,-9.223372036849262e+18,Vita,,
-9223372036108664768,-9223372036848118650,21,BZ,C4,11,11,2,2017,-9.223372036849262e+18,Vita,,
-9223372036108673661,-9223372036848123457,21,BZ,C4,11,9,2,2017,-9.223372036849262e+18,Vita,,
-9223372036108674376,-9223372036848119019,21,BZ,C4,11,14,2,2017,-9.223372036849263e+18,Vita,,
-9223372036109030919,-9223372036848119796,21,BZ,C4,11,3,2,2017,-9.223372036849258e+18,Vita,,
-9223372036109053326,-9223372036848119198,21,BZ,C4,11,24,2,2017,-9.223372036849262e+18,Vita,,
