idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcssIndiceCelluleSomatiche,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,NumeroDiFiglie,NumeroDiAziende,AreaGeograficaEsteraDiInfluenzaSuCalcolo
-9223372035851849165,-9223372036835155826,,,C4,11,6,5,2021,103.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851849177,-9223372036844245262,,,C4,11,6,5,2021,105.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851849189,-9223372036835155827,,,C4,11,6,5,2021,103.0,43.0,GENETICO,Semestrale,2021,,,
-9223372035851849201,-9223372036844295257,,,C4,11,6,5,2021,94.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851849213,-9223372036844294600,,,C4,11,6,5,2021,98.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851849225,-9223372036844224647,,,C4,11,6,5,2021,101.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851849237,-9223372036835155828,,,C4,11,6,5,2021,97.0,41.0,GENETICO,Semestrale,2021,,,
-9223372035851849249,-9223372036844224249,,,C4,11,6,5,2021,101.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851849261,-9223372036844224241,,,C4,11,6,5,2021,95.0,39.0,GENETICO,Semestrale,2021,,,
-9223372035851849273,-9223372036844294412,,,C4,11,6,5,2021,102.0,45.0,GENETICO,Semestrale,2021,,,
-9223372035851849285,-9223372036844224337,,,C4,11,6,5,2021,102.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851849297,-9223372036844203472,,,C4,11,6,5,2021,100.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851849309,-9223372036835155829,,,C4,11,6,5,2021,98.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851849321,-9223372036844167089,,,C4,11,6,5,2021,97.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851849333,-9223372036844234117,,,C4,11,6,5,2021,106.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851849345,-9223372036844271400,,,C4,11,6,5,2021,103.0,49.0,GENETICO,Semestrale,2021,,,
-9223372035851849357,-9223372036835155830,,,C4,11,6,5,2021,103.0,58.0,GENETICO,Semestrale,2021,,,
-9223372035851849369,-9223372036844295046,,,C4,11,6,5,2021,102.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851849381,-9223372036844271093,,,C4,11,6,5,2021,98.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851849393,-9223372036844271099,,,C4,11,6,5,2021,102.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851849405,-9223372036844218105,,,C4,11,6,5,2021,102.0,54.0,GENETICO,Semestrale,2021,,,
-9223372035851849417,-9223372036844316107,,,C4,11,6,5,2021,101.0,43.0,GENETICO,Semestrale,2021,,,
-9223372035851849429,-9223372036844316115,,,C4,11,6,5,2021,105.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851849441,-9223372036844316116,,,C4,11,6,5,2021,105.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851849465,-9223372036844294275,,,C4,11,6,5,2021,110.0,43.0,GENETICO,Semestrale,2021,,,
-9223372035851849477,-9223372036844294276,,,C4,11,6,5,2021,107.0,43.0,GENETICO,Semestrale,2021,,,
-9223372035851849489,-9223372036844294277,,,C4,11,6,5,2021,96.0,55.0,GENETICO,Semestrale,2021,,,
-9223372035851849501,-9223372036844271497,,,C4,11,6,5,2021,107.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851849513,-9223372036844271540,,,C4,11,6,5,2021,103.0,54.0,GENETICO,Semestrale,2021,,,
-9223372035851849525,-9223372036844203615,,,C4,11,6,5,2021,105.0,54.0,GENETICO,Semestrale,2021,,,
-9223372035851849537,-9223372036844203616,,,C4,11,6,5,2021,101.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851849561,-9223372036844294335,,,C4,11,6,5,2021,98.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851849573,-9223372036844271254,,,C4,11,6,5,2021,98.0,39.0,GENETICO,Semestrale,2021,,,
-9223372035851849585,-9223372036844271250,,,C4,11,6,5,2021,104.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851849597,-9223372036844294394,,,C4,11,6,5,2021,99.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851849609,-9223372036844294364,,,C4,11,6,5,2021,97.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851849621,-9223372036844294365,,,C4,11,6,5,2021,99.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851849633,-9223372036844203883,,,C4,11,6,5,2021,102.0,58.0,GENETICO,Semestrale,2021,,,
-9223372035851849645,-9223372036844224105,,,C4,11,6,5,2021,102.0,58.0,GENETICO,Semestrale,2021,,,
-9223372035851849657,-9223372036844278075,,,C4,11,6,5,2021,103.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851849669,-9223372036844245186,,,C4,11,6,5,2021,109.0,45.0,GENETICO,Semestrale,2021,,,
-9223372035851849681,-9223372036844294510,,,C4,11,6,5,2021,100.0,42.0,GENETICO,Semestrale,2021,,,
-9223372035851849693,-9223372036844294590,,,C4,11,6,5,2021,107.0,32.0,GENETICO,Semestrale,2021,,,
-9223372035851849705,-9223372036844282901,,,C4,11,6,5,2021,101.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851849717,-9223372036844294716,,,C4,11,6,5,2021,107.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851849729,-9223372036844218941,,,C4,11,6,5,2021,94.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851849741,-9223372036844155475,,,C4,11,6,5,2021,101.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851849753,-9223372036844244527,,,C4,11,6,5,2021,101.0,41.0,GENETICO,Semestrale,2021,,,
-9223372035851849765,-9223372036835155831,,,C4,11,6,5,2021,104.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851849777,-9223372036844203279,,,C4,11,6,5,2021,103.0,42.0,GENETICO,Semestrale,2021,,,
-9223372035851849789,-9223372036844319957,,,C4,11,6,5,2021,105.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851849801,-9223372036844244354,,,C4,11,6,5,2021,100.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851849813,-9223372036844187768,,,C4,11,6,5,2021,98.0,42.0,GENETICO,Semestrale,2021,,,
-9223372035851849825,-9223372036844219165,,,C4,11,6,5,2021,96.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851849837,-9223372036844064040,,,C4,11,6,5,2021,101.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851849849,-9223372036844144149,,,C4,11,6,5,2021,105.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851849861,-9223372036844224642,,,C4,11,6,5,2021,101.0,59.0,GENETICO,Semestrale,2021,,,
-9223372035851849873,-9223372036844218107,,,C4,11,6,5,2021,101.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851849885,-9223372036844244566,,,C4,11,6,5,2021,106.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851849897,-9223372036844271302,,,C4,11,6,5,2021,104.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851849909,-9223372036844362294,,,C4,11,6,5,2021,104.0,54.0,GENETICO,Semestrale,2021,,,
-9223372035851849933,-9223372036835155832,,,C4,11,6,5,2021,107.0,44.0,GENETICO,Semestrale,2021,,,
-9223372035851849945,-9223372036844271388,,,C4,11,6,5,2021,111.0,54.0,GENETICO,Semestrale,2021,,,
-9223372035851849957,-9223372036835155833,,,C4,11,6,5,2021,93.0,58.0,GENETICO,Semestrale,2021,,,
-9223372035851849969,-9223372036844316258,,,C4,11,6,5,2021,97.0,41.0,GENETICO,Semestrale,2021,,,
-9223372035851849981,-9223372036844212378,,,C4,11,6,5,2021,97.0,42.0,GENETICO,Semestrale,2021,,,
-9223372035851849993,-9223372036844224693,,,C4,11,6,5,2021,103.0,40.0,GENETICO,Semestrale,2021,,,
-9223372035851850005,-9223372036844617970,,,C4,11,6,5,2021,109.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851850017,-9223372036847607218,,,C4,11,6,5,2021,104.0,59.0,GENETICO,Semestrale,2021,,,
-9223372035851850029,-9223372036847567309,,,C4,11,6,5,2021,104.0,59.0,GENETICO,Semestrale,2021,,,
-9223372035851850041,-9223372036844370688,,,C4,11,6,5,2021,106.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851850053,-9223372036844369640,,,C4,11,6,5,2021,104.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851850065,-9223372036844370601,,,C4,11,6,5,2021,99.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851850077,-9223372036844390033,,,C4,11,6,5,2021,101.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851850089,-9223372036844383624,,,C4,11,6,5,2021,101.0,55.0,GENETICO,Semestrale,2021,,,
-9223372035851850101,-9223372036844414311,,,C4,11,6,5,2021,94.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851850113,-9223372036844414310,,,C4,11,6,5,2021,96.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851850125,-9223372036844484585,,,C4,11,6,5,2021,105.0,54.0,GENETICO,Semestrale,2021,,,
-9223372035851850137,-9223372036844489296,,,C4,11,6,5,2021,102.0,45.0,GENETICO,Semestrale,2021,,,
-9223372035851850149,-9223372036844495900,,,C4,11,6,5,2021,104.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851850161,-9223372036844404338,,,C4,11,6,5,2021,105.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851850173,-9223372036844513029,,,C4,11,6,5,2021,102.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851850185,-9223372036844513025,,,C4,11,6,5,2021,107.0,55.0,GENETICO,Semestrale,2021,,,
-9223372035851850197,-9223372036844395622,,,C4,11,6,5,2021,98.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851850209,-9223372036844538708,,,C4,11,6,5,2021,97.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851850221,-9223372036844400568,,,C4,11,6,5,2021,102.0,49.0,GENETICO,Semestrale,2021,,,
-9223372035851850233,-9223372036844417186,,,C4,11,6,5,2021,102.0,49.0,GENETICO,Semestrale,2021,,,
-9223372035851850245,-9223372036844533776,,,C4,11,6,5,2021,104.0,55.0,GENETICO,Semestrale,2021,,,
-9223372035851850257,-9223372036844432745,,,C4,11,6,5,2021,107.0,41.0,GENETICO,Semestrale,2021,,,
-9223372035851850269,-9223372036844420550,,,C4,11,6,5,2021,99.0,55.0,GENETICO,Semestrale,2021,,,
