idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataEliminazione,MotivoEliminazione
-9223372031120041170,-9223372036848005327,14,SO,C4,11,6,11,2023,2023-11-06,Macello
-9223372031131107147,-9223372036847921373,22,TN,C4,11,9,11,2023,2023-11-09,Macello
-9223372031136143623,-9223372036847948631,22,TN,C4,11,15,11,2023,2023-11-15,Macello
-9223372031140243546,-9223372036848602823,22,TN,C4,11,17,11,2023,2023-11-17,Macello
-9223372031157025050,-9223372036848010180,22,TN,C4,11,4,11,2023,2023-11-04,Morte in stalla
-9223372031160882530,-9223372036848019467,22,TN,C4,11,20,11,2023,2023-11-20,Macello
-9223372031169783003,-9223372036848591763,22,TN,C4,11,21,11,2023,2023-11-21,Macello
-9223372031203086594,-9223372036848661218,22,TN,C4,11,5,11,2023,2023-11-05,Abbattimento Prov.Sanitario
-9223372031209610107,-9223372036847995933,22,TN,C4,11,10,11,2023,2023-11-10,Macello
-9223372031209610109,-9223372036848595464,22,TN,C4,11,10,11,2023,2023-11-10,Macello
-9223372031209610111,-9223372036848639321,22,TN,C4,11,10,11,2023,2023-11-10,Macello
-9223372031209610115,-9223372036849154378,22,TN,C4,11,10,11,2023,2023-11-10,Macello
-9223372031219595429,-9223372036847961846,22,TN,C4,11,3,11,2023,2023-11-03,Macello
-9223372031303006315,-9223372036850039773,16,BG,C4,11,1,11,2023,2023-11-01,Macello
-9223372029901116032,-9223372036847512808,37,BO,C4,11,29,12,2023,2023-12-29,Morte in stalla
-9223372030847039812,-9223372036848591880,22,TN,C4,11,10,12,2023,2023-12-10,Morte in stalla
-9223372030885870264,-9223372036848637781,22,TN,C4,11,27,12,2023,2023-12-27,Macello
-9223372031114244586,-9223372036847946532,22,TN,C4,11,13,12,2023,2023-12-13,Morte al Pascolo
-9223372031167784637,-9223372036850350335,25,BL,C4,11,2,12,2023,2023-12-02,Macello
-9223372029901087288,-9223372036847393812,37,BO,C4,11,17,1,2024,2024-01-17,Macello
-9223372029901117811,-9223372036847512786,37,BO,C4,11,17,1,2024,2024-01-17,Macello
-9223372030052622826,-9223372036850322039,4,CN,C4,11,4,1,2024,2024-01-04,Macello
-9223372030613695568,-9223372036848587574,22,TN,C4,11,20,1,2024,2024-01-20,Macello
-9223372030699664276,-9223372036850039784,16,BG,C4,11,14,1,2024,2024-01-14,Macello
-9223372030772510911,-9223372036848600232,22,TN,C4,11,3,1,2024,2024-01-03,Macello
-9223372030815475015,-9223372036849909307,36,MO,C4,11,3,1,2024,2024-01-03,Macello
-9223372030514849496,-9223372036803274314,22,TN,C4,11,19,2,2024,2024-02-19,Macello
-9223372030592687643,-9223372036850354698,30,UD,C4,11,5,2,2024,2024-02-05,Macello
-9223372030598916900,-9223372036850350349,25,BL,C4,11,15,2,2024,2024-02-15,Macello
-9223372030026384943,-9223372036847537786,1,TO,C4,11,23,3,2024,2024-03-23,Morte in stalla
-9223372030259280456,-9223372036847542743,4,CN,C4,11,29,3,2024,2024-03-29,Macello
-9223372030389243176,-9223372036847602541,13,CO,C4,11,14,3,2024,2024-03-14,Morte in stalla
-9223372030437861757,-9223372036848595782,22,TN,C4,11,4,3,2024,2024-03-04,Macello
-9223372030449906928,-9223372036848595497,22,TN,C4,11,18,3,2024,2024-03-18,Macello
-9223372030173465234,-9223372036850095802,1,TO,C4,11,5,4,2024,2024-04-05,Abbattimento Prov.Sanitario
-9223372030209875837,-9223372036848964582,14,SO,C4,11,29,4,2024,2024-04-29,Morte in stalla
-9223372030262462705,-9223372036847988472,22,TN,C4,11,15,4,2024,2024-04-15,Macello
