idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,GoodSeparationGose,CelluleSomaticheDifferenzialiDscc,DataAnalisiDscc,NumeroCampioneDscc
-9223372036733646239,-9223372036850185586,24,VI,C4,11,22,3,2018,1.0,80.6,2018-03-22,11428408
-9223372036733720504,-9223372036849316765,14,SO,C4,11,14,3,2018,,57.9,2018-03-14,73790828
-9223372036733770138,-9223372036849089109,25,BL,C4,11,30,3,2018,1.0,55.6,2018-03-30,11996518
-9223372036733773922,-9223372036849112997,24,VI,C4,11,22,3,2018,1.0,82.5,2018-03-22,11427704
-9223372036733783585,-9223372036849415873,17,BS,C4,11,8,3,2018,,31.3,2018-03-08,74379891
-9223372036733803176,-9223372036848565425,24,VI,C4,11,22,3,2018,1.0,54.4,2018-03-22,11427794
-9223372036733814489,-9223372036848561956,24,VI,C4,11,22,3,2018,1.0,82.8,2018-03-22,11428152
-9223372036733822396,-9223372036850370190,25,BL,C4,11,14,3,2018,1.0,78.2,2018-03-14,73468739
-9223372036733868796,-9223372036849082290,25,BL,C4,11,14,3,2018,1.0,62.2,2018-03-14,73647784
-9223372036733884657,-9223372036848653917,24,VI,C4,11,22,3,2018,1.0,85.4,2018-03-22,11427594
-9223372036733898589,-9223372036850577524,25,BL,C4,11,5,3,2018,1.0,54.0,2018-03-05,73261895
-9223372036733978353,-9223372036850370196,25,BL,C4,11,14,3,2018,1.0,79.0,2018-03-14,73647929
-9223372036733994084,-9223372036850185485,24,VI,C4,11,22,3,2018,1.0,69.2,2018-03-22,11428053
-9223372036734064858,-9223372036850610598,17,BS,C4,11,8,3,2018,,48.4,2018-03-08,74379792
-9223372036734071057,-9223372036848632834,97,LC,C4,11,8,3,2018,,72.7,2018-03-08,73541820
-9223372036734097443,-9223372036849631350,24,VI,C4,11,22,3,2018,1.0,76.3,2018-03-22,11428005
-9223372036734111726,-9223372036849352468,17,BS,C4,11,23,3,2018,,88.1,2018-03-23,76175231
-9223372036734111909,-9223372036850152065,97,LC,C4,11,27,3,2018,,81.4,2018-03-27,76293748
-9223372036734122377,-9223372036850611230,17,BS,C4,11,8,3,2018,,39.5,2018-03-08,74380007
-9223372036734139231,-9223372036849442858,17,BS,C4,11,23,3,2018,,72.4,2018-03-23,76175125
-9223372036734153285,-9223372036848649936,14,SO,C4,11,28,3,2018,,80.3,2018-03-28,76304051
-9223372036734166187,-9223372036848652859,25,BL,C4,11,20,3,2018,1.0,82.8,2018-03-20,11996876
-9223372036734176417,-9223372036848617098,14,SO,C4,11,28,3,2018,,44.6,2018-03-28,73791249
-9223372036734211138,-9223372036849089109,25,BL,C4,11,2,3,2018,1.0,40.2,2018-03-02,73612395
-9223372036734214746,-9223372036850079368,14,SO,C4,11,13,3,2018,,86.6,2018-03-13,73790075
-9223372036734261278,-9223372036849525748,24,VI,C4,11,22,3,2018,1.0,88.7,2018-03-22,11427902
-9223372036734261812,-9223372036849409159,25,BL,C4,11,30,3,2018,1.0,85.1,2018-03-30,12010354
-9223372036734283231,-9223372036849083862,17,BS,C4,11,16,3,2018,,76.8,2018-03-16,76180564
-9223372036734319438,-9223372036850391119,24,VI,C4,11,3,3,2018,1.0,67.9,2018-03-03,73565344
-9223372036733047190,-9223372036849090804,17,BS,C4,11,18,4,2018,,74.5,2018-04-18,76256679
-9223372036733061997,-9223372036850291027,17,BS,C4,11,3,4,2018,,38.9,2018-04-03,76216128
-9223372036733090799,-9223372036850381987,24,VI,C4,11,11,4,2018,1.0,54.1,2018-04-11,12042349
-9223372036733117917,-9223372036849785908,24,VI,C4,11,3,4,2018,1.0,22.4,2018-04-03,11978360
-9223372036733179601,-9223372036848636810,25,BL,C4,11,3,4,2018,1.0,59.7,2018-04-03,12010186
-9223372036733216149,-9223372036849455429,17,BS,C4,11,18,4,2018,,65.5,2018-04-18,76175411
-9223372036733289776,-9223372036849411625,24,VI,C4,11,10,4,2018,1.0,77.6,2018-04-10,11978228
-9223372036733291702,-9223372036848916612,17,BS,C4,11,18,4,2018,,82.8,2018-04-18,73424681
-9223372036733319875,-9223372036848859874,17,BS,C4,11,18,4,2018,,54.5,2018-04-18,73424440
-9223372036733332917,-9223372036848632341,25,BL,C4,11,3,4,2018,1.0,87.4,2018-04-03,12010474
-9223372036733356251,-9223372036850291014,17,BS,C4,11,3,4,2018,,80.3,2018-04-03,76216328
-9223372036733362194,-9223372036849453948,17,BS,C4,11,18,4,2018,,37.8,2018-04-18,76256511
-9223372036733496706,-9223372036849455427,17,BS,C4,11,18,4,2018,,77.7,2018-04-18,73424613
-9223372036733502712,-9223372036848639576,25,BL,C4,11,3,4,2018,1.0,74.5,2018-04-03,12010146
-9223372036733540924,-9223372036848606200,24,VI,C4,11,4,4,2018,1.0,75.6,2018-04-04,11976185
-9223372036733544337,-9223372036848553913,25,BL,C4,11,12,4,2018,1.0,63.5,2018-04-12,73261569
-9223372036733563039,-9223372036848553914,25,BL,C4,11,12,4,2018,1.0,52.2,2018-04-12,73261682
-9223372036733591675,-9223372036848598625,25,BL,C4,11,3,4,2018,1.0,61.6,2018-04-03,12010471
-9223372036733603099,-9223372036849455437,17,BS,C4,11,18,4,2018,,44.8,2018-04-18,73424467
-9223372036733620465,-9223372036848553915,25,BL,C4,11,12,4,2018,1.0,87.1,2018-04-12,73261651
-9223372036733621252,-9223372036848588963,24,VI,C4,11,3,4,2018,1.0,74.8,2018-04-03,11978355
-9223372036733662866,-9223372036850391119,24,VI,C4,11,11,4,2018,1.0,68.4,2018-04-11,11997525
-9223372036733674980,-9223372036849089109,25,BL,C4,11,30,4,2018,1.0,39.1,2018-04-30,11986286
-9223372036733683035,-9223372036848887978,17,BS,C4,11,18,4,2018,,79.2,2018-04-18,73424221
-9223372036733707140,-9223372036849830068,24,VI,C4,11,10,4,2018,1.0,69.3,2018-04-10,11978415
-9223372036733743231,-9223372036849793215,24,VI,C4,11,3,4,2018,1.0,83.3,2018-04-03,11978310
-9223372036733754937,-9223372036849793204,24,VI,C4,11,3,4,2018,1.0,70.7,2018-04-03,11978227
-9223372036733764568,-9223372036849455436,17,BS,C4,11,18,4,2018,,81.9,2018-04-18,73424340
-9223372036733813592,-9223372036848917746,17,BS,C4,11,18,4,2018,,75.8,2018-04-18,73424276
-9223372036733820835,-9223372036849455447,17,BS,C4,11,18,4,2018,,55.9,2018-04-18,73424260
-9223372036733866731,-9223372036850381407,24,VI,C4,11,11,4,2018,1.0,82.0,2018-04-11,12042209
-9223372036733879428,-9223372036849793199,24,VI,C4,11,3,4,2018,1.0,43.3,2018-04-03,11978300
-9223372036733898040,-9223372036848859873,17,BS,C4,11,18,4,2018,,62.0,2018-04-18,73424341
-9223372036733923868,-9223372036848914340,17,BS,C4,11,17,4,2018,,78.4,2018-04-17,76256619
-9223372036733942307,-9223372036848917131,17,BS,C4,11,18,4,2018,,63.3,2018-04-18,73424214
-9223372036733960761,-9223372036848902665,17,BS,C4,11,18,4,2018,,82.8,2018-04-18,76256693
-9223372036733965577,-9223372036849675936,24,VI,C4,11,11,4,2018,1.0,60.1,2018-04-11,11998154
-9223372036733970992,-9223372036848890952,17,BS,C4,11,18,4,2018,,78.6,2018-04-18,76256483
-9223372036733986091,-9223372036848553258,25,BL,C4,11,3,4,2018,0.0,87.9,2018-04-03,12010433
-9223372036733988212,-9223372036849455440,17,BS,C4,11,18,4,2018,,85.0,2018-04-18,73424553
-9223372036734006550,-9223372036848655117,25,BL,C4,11,12,4,2018,1.0,70.0,2018-04-12,73261791
-9223372036734022665,-9223372036848600178,24,VI,C4,11,4,4,2018,1.0,92.9,2018-04-04,11976279
-9223372036734047764,-9223372036850291020,17,BS,C4,11,3,4,2018,,65.7,2018-04-03,76216104
-9223372036734058899,-9223372036849884268,25,BL,C4,11,18,4,2018,1.0,53.6,2018-04-18,12009324
-9223372036734059554,-9223372036850381998,24,VI,C4,11,11,4,2018,1.0,74.8,2018-04-11,12042139
-9223372036734075236,-9223372036849316765,14,SO,C4,11,30,4,2018,,64.6,2018-04-30,11823848
-9223372036734091673,-9223372036849455441,17,BS,C4,11,18,4,2018,,59.9,2018-04-18,73424361
-9223372036734114721,-9223372036848859872,17,BS,C4,11,18,4,2018,,69.9,2018-04-18,73424513
-9223372036734189322,-9223372036849830054,24,VI,C4,11,10,4,2018,1.0,88.6,2018-04-10,11978361
-9223372036734208029,-9223372036848620110,17,BS,C4,11,3,4,2018,,77.0,2018-04-03,76216258
-9223372036734262342,-9223372036848911587,17,BS,C4,11,18,4,2018,,77.0,2018-04-18,73424684
-9223372036734277536,-9223372036850577524,25,BL,C4,11,12,4,2018,1.0,71.5,2018-04-12,73261630
-9223372036734282764,-9223372036848657876,24,VI,C4,11,3,4,2018,1.0,90.7,2018-04-03,11978383
-9223372036734311208,-9223372036848552297,25,BL,C4,11,12,4,2018,1.0,80.1,2018-04-12,73261447
-9223372036733022360,-9223372036850556273,97,LC,C4,11,10,5,2018,,48.6,2018-05-10,11567017
-9223372036733033571,-9223372036848654745,23,VR,C4,11,9,5,2018,1.0,56.6,2018-05-09,11432838
-9223372036733041731,-9223372036848628921,97,LC,C4,11,10,5,2018,,52.5,2018-05-10,11567179
-9223372036733070590,-9223372036848622326,97,LC,C4,11,10,5,2018,,75.1,2018-05-10,11567438
-9223372036733087183,-9223372036850370196,25,BL,C4,11,28,5,2018,1.0,82.7,2018-05-28,12006743
-9223372036733091469,-9223372036848661061,25,BL,C4,11,15,5,2018,1.0,80.8,2018-05-15,11382978
-9223372036733124603,-9223372036848635439,17,BS,C4,11,4,5,2018,,79.8,2018-05-04,73423379
-9223372036733143805,-9223372036848635413,17,BS,C4,11,4,5,2018,,80.6,2018-05-04,73422928
-9223372036733147399,-9223372036849516329,25,BL,C4,11,2,5,2018,1.0,88.6,2018-05-02,11985728
-9223372036733171783,-9223372036850536389,25,BL,C4,11,23,5,2018,1.0,91.1,2018-05-23,11390288
-9223372036733179660,-9223372036849580708,25,BL,C4,11,23,5,2018,1.0,45.6,2018-05-23,11390340
-9223372036733182194,-9223372036849549242,97,LC,C4,11,10,5,2018,,51.2,2018-05-10,11566985
-9223372036733201715,-9223372036849800306,25,BL,C4,11,2,5,2018,1.0,34.9,2018-05-02,11985852
-9223372036733205579,-9223372036848634819,97,LC,C4,11,10,5,2018,,32.6,2018-05-10,11566880
-9223372036733253521,-9223372036848656749,25,BL,C4,11,2,5,2018,1.0,70.5,2018-05-02,11986145
-9223372036733259644,-9223372036849793225,24,VI,C4,11,10,5,2018,1.0,85.1,2018-05-10,12095581
-9223372036733274624,-9223372036848623781,97,LC,C4,11,10,5,2018,,46.7,2018-05-10,11567194
-9223372036733298460,-9223372036850291020,17,BS,C4,11,18,5,2018,,77.2,2018-05-18,76418428
-9223372036733328920,-9223372036850556276,97,LC,C4,11,10,5,2018,,75.2,2018-05-10,11567830
-9223372036733332990,-9223372036848642140,16,BG,C4,11,29,5,2018,,70.4,2018-05-29,11825022
-9223372036733340359,-9223372036849793210,24,VI,C4,11,10,5,2018,1.0,70.7,2018-05-10,12095537
-9223372036733347777,-9223372036850294265,23,VR,C4,11,9,5,2018,1.0,83.7,2018-05-09,11432783
-9223372036733481103,-9223372036850556293,97,LC,C4,11,10,5,2018,,84.7,2018-05-10,11324965
-9223372036733483238,-9223372036850556281,97,LC,C4,11,10,5,2018,,52.9,2018-05-10,11567279
-9223372036733505569,-9223372036848633082,97,LC,C4,11,10,5,2018,,68.2,2018-05-10,11566973
-9223372036733511291,-9223372036848552238,24,VI,C4,11,19,5,2018,1.0,86.5,2018-05-19,12094625
-9223372036733569565,-9223372036849751679,25,BL,C4,11,25,5,2018,1.0,87.3,2018-05-25,11390083
-9223372036733601137,-9223372036849414045,23,VR,C4,11,9,5,2018,1.0,46.1,2018-05-09,11432620
-9223372036733610409,-9223372036850350248,25,BL,C4,11,2,5,2018,1.0,78.8,2018-05-02,11985920
-9223372036733611719,-9223372036848633583,97,LC,C4,11,10,5,2018,,44.3,2018-05-10,11567120
-9223372036733631549,-9223372036848552848,25,BL,C4,11,2,5,2018,1.0,88.6,2018-05-02,11986237
-9223372036733632385,-9223372036849436170,14,SO,C4,11,7,5,2018,,69.8,2018-05-07,76503069
-9223372036733646843,-9223372036850556284,97,LC,C4,11,10,5,2018,,73.8,2018-05-10,11567122
-9223372036733650288,-9223372036850528040,97,LC,C4,11,10,5,2018,,41.2,2018-05-10,11566886
-9223372036733676141,-9223372036849411625,24,VI,C4,11,21,5,2018,1.0,80.5,2018-05-21,12094745
-9223372036733713380,-9223372036850556287,97,LC,C4,11,10,5,2018,,74.0,2018-05-10,11567061
-9223372036733744228,-9223372036848905166,17,BS,C4,11,2,5,2018,,75.3,2018-05-02,73424436
-9223372036733791826,-9223372036849436168,14,SO,C4,11,7,5,2018,,79.4,2018-05-07,76503032
-9223372036733809007,-9223372036848638748,97,LC,C4,11,10,5,2018,,66.6,2018-05-10,11566990
-9223372036733818907,-9223372036850536380,25,BL,C4,11,23,5,2018,1.0,88.1,2018-05-23,11390142
-9223372036733875247,-9223372036848644390,24,VI,C4,11,11,5,2018,1.0,64.9,2018-05-11,12028979
-9223372036733914785,-9223372036849830068,24,VI,C4,11,21,5,2018,1.0,80.7,2018-05-21,12094786
-9223372036733961523,-9223372036850291027,17,BS,C4,11,18,5,2018,,47.5,2018-05-18,76418466
-9223372036734003328,-9223372036850350397,25,BL,C4,11,2,5,2018,1.0,70.1,2018-05-02,11985730
-9223372036734018274,-9223372036850350304,25,BL,C4,11,2,5,2018,1.0,76.3,2018-05-02,11985607
-9223372036734031411,-9223372036848618971,97,LC,C4,11,10,5,2018,,60.4,2018-05-10,11567357
-9223372036734036603,-9223372036850370138,25,BL,C4,11,28,5,2018,1.0,91.2,2018-05-28,12006846
-9223372036734056646,-9223372036850528043,97,LC,C4,11,10,5,2018,,31.8,2018-05-10,11567173
-9223372036734069320,-9223372036850556269,97,LC,C4,11,10,5,2018,,82.6,2018-05-10,11567233
-9223372036734074153,-9223372036850291014,17,BS,C4,11,18,5,2018,,80.8,2018-05-18,76418550
-9223372036734094678,-9223372036848632472,23,VR,C4,11,9,5,2018,1.0,84.2,2018-05-09,11432724
-9223372036734132382,-9223372036849800384,25,BL,C4,11,2,5,2018,1.0,63.6,2018-05-02,11985684
-9223372036734151101,-9223372036848620110,17,BS,C4,11,18,5,2018,,67.7,2018-05-18,76418823
-9223372036734153355,-9223372036848645470,97,LC,C4,11,10,5,2018,,26.9,2018-05-10,11567051
-9223372036734156313,-9223372036850556266,97,LC,C4,11,10,5,2018,,19.4,2018-05-10,11566897
-9223372036734220441,-9223372036848554071,25,BL,C4,11,2,5,2018,1.0,82.9,2018-05-02,11986379
-9223372036734251540,-9223372036850615745,13,CO,C4,11,11,5,2018,,69.7,2018-05-11,11831877
-9223372036734252959,-9223372036849830054,24,VI,C4,11,21,5,2018,1.0,72.7,2018-05-21,12095229
-9223372036734256922,-9223372036849426335,97,LC,C4,11,10,5,2018,,78.7,2018-05-10,11567126
-9223372036734278121,-9223372036850536188,25,BL,C4,11,23,5,2018,1.0,73.2,2018-05-23,11390328
-9223372036734305610,-9223372036848631222,97,LC,C4,11,10,5,2018,,33.3,2018-05-10,11567064
-9223372036733030034,-9223372036848557885,24,VI,C4,11,1,6,2018,1.0,70.7,2018-06-01,12988898
-9223372036733031246,-9223372036850577524,25,BL,C4,11,27,6,2018,1.0,44.0,2018-06-27,12006266
-9223372036733047243,-9223372036849830068,24,VI,C4,11,28,6,2018,1.0,81.7,2018-06-28,13028592
-9223372036733050531,-9223372036848561956,24,VI,C4,11,1,6,2018,1.0,85.2,2018-06-01,12988930
-9223372036733060796,-9223372036849516329,25,BL,C4,11,6,6,2018,1.0,83.6,2018-06-06,12006922
-9223372036733064189,-9223372036849960645,28,PD,C4,11,14,6,2018,1.0,46.4,2018-06-14,13004967
-9223372036733122728,-9223372036850577497,25,BL,C4,11,27,6,2018,1.0,81.5,2018-06-27,12006191
-9223372036733125012,-9223372036849694907,17,BS,C4,11,14,6,2018,1.0,39.1,2018-06-14,76539611
-9223372036733162791,-9223372036848831791,18,PV,C4,11,12,6,2018,1.0,83.6,2018-06-12,11702374
-9223372036733164382,-9223372036850350304,25,BL,C4,11,7,6,2018,1.0,74.5,2018-06-07,12007191
-9223372036733177826,-9223372036850610282,17,BS,C4,11,14,6,2018,1.0,44.9,2018-06-14,76539929
