idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcdaIndiceComplessivoDupliceAttitudine,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,IdaIndiceDiDupliceAttitudine
-9223372033074811360,-9223372036835156581,,,C4,11,24,10,2022,810.94,83.6,GENETICO,semestrale,2022,
-9223372033074811366,-9223372036835156582,,,C4,11,24,10,2022,336.71,85.9,GENETICO,semestrale,2022,
-9223372033074811378,-9223372036835156583,,,C4,11,24,10,2022,59.94,90.3,GENETICO,semestrale,2022,
-9223372033074811384,-9223372036835156584,,,C4,11,24,10,2022,352.64,83.5,GENETICO,semestrale,2022,
-9223372033074811396,-9223372036835156585,,,C4,11,24,10,2022,693.93,87.1,GENETICO,semestrale,2022,
-9223372033074811402,-9223372036835156586,,,C4,11,24,10,2022,281.15,81.3,GENETICO,semestrale,2022,
-9223372033074811414,-9223372036835156587,,,C4,11,24,10,2022,444.82,93.1,GENETICO,semestrale,2022,
-9223372033074811426,-9223372036835156588,,,C4,11,24,10,2022,553.89,91.4,GENETICO,semestrale,2022,
-9223372033074811432,-9223372036835156589,,,C4,11,24,10,2022,600.48,97.1,GENETICO,semestrale,2022,
-9223372033074811444,-9223372036835156590,,,C4,11,24,10,2022,867.78,89.6,GENETICO,semestrale,2022,
-9223372033074811450,-9223372036835156591,,,C4,11,24,10,2022,512.25,92.5,GENETICO,semestrale,2022,
-9223372033074811462,-9223372036835156592,,,C4,11,24,10,2022,263.13,86.1,GENETICO,semestrale,2022,
-9223372033074811474,-9223372036835156593,,,C4,11,24,10,2022,103.36,91.0,GENETICO,semestrale,2022,
-9223372033074811480,-9223372036835156594,,,C4,11,24,10,2022,93.15,91.1,GENETICO,semestrale,2022,
-9223372033074811492,-9223372036835156595,,,C4,11,24,10,2022,554.72,95.1,GENETICO,semestrale,2022,
-9223372033074811498,-9223372036835156596,,,C4,11,24,10,2022,788.21,88.9,GENETICO,semestrale,2022,
-9223372033074811510,-9223372036835156597,,,C4,11,24,10,2022,632.17,91.6,GENETICO,semestrale,2022,
-9223372033074811522,-9223372036835156598,,,C4,11,24,10,2022,73.19,96.4,GENETICO,semestrale,2022,
-9223372033074811528,-9223372036835156599,,,C4,11,24,10,2022,429.61,89.3,GENETICO,semestrale,2022,
-9223372033074811540,-9223372036835156601,,,C4,11,24,10,2022,170.32,94.2,GENETICO,semestrale,2022,
-9223372033074811552,-9223372036835156602,,,C4,11,24,10,2022,175.94,89.1,GENETICO,semestrale,2022,
-9223372033074811558,-9223372036835156603,,,C4,11,24,10,2022,325.47,89.3,GENETICO,semestrale,2022,
-9223372033074811570,-9223372036835156604,,,C4,11,24,10,2022,108.22,90.6,GENETICO,semestrale,2022,
-9223372033074811576,-9223372036835156605,,,C4,11,24,10,2022,242.34,92.4,GENETICO,semestrale,2022,
-9223372033074811588,-9223372036846950201,,,C4,11,24,10,2022,288.83,92.3,GENETICO,semestrale,2022,
-9223372033074811600,-9223372036835156607,,,C4,11,24,10,2022,-32.02,89.4,GENETICO,semestrale,2022,
-9223372033074811606,-9223372036835156608,,,C4,11,24,10,2022,-3.37,90.8,GENETICO,semestrale,2022,
-9223372033074811618,-9223372036835156609,,,C4,11,24,10,2022,214.16,97.8,GENETICO,semestrale,2022,
-9223372033074811630,-9223372036830434841,,,C4,11,24,10,2022,65.81,97.1,GENETICO,semestrale,2022,
-9223372033074811651,-9223372036835156610,,,C4,11,24,10,2022,115.81,92.7,GENETICO,semestrale,2022,
-9223372033074811663,-9223372036835156611,,,C4,11,24,10,2022,290.11,89.5,GENETICO,semestrale,2022,
-9223372033074811675,-9223372036835156613,,,C4,11,24,10,2022,184.87,91.6,GENETICO,semestrale,2022,
-9223372033074811681,-9223372036835156614,,,C4,11,24,10,2022,239.44,91.4,GENETICO,semestrale,2022,
-9223372033074811693,-9223372036835156615,,,C4,11,24,10,2022,256.5,86.6,GENETICO,semestrale,2022,
-9223372033074811699,-9223372036835156616,,,C4,11,24,10,2022,225.31,90.4,GENETICO,semestrale,2022,
-9223372033074811711,-9223372036835156617,,,C4,11,24,10,2022,580.24,91.2,GENETICO,semestrale,2022,
-9223372033074811717,-9223372036835156618,,,C4,11,24,10,2022,125.8,92.8,GENETICO,semestrale,2022,
-9223372033074811723,-9223372036835156619,,,C4,11,24,10,2022,37.44,90.7,GENETICO,semestrale,2022,
-9223372033074811735,-9223372036835156620,,,C4,11,24,10,2022,169.03,92.7,GENETICO,semestrale,2022,
-9223372033074811741,-9223372036835156621,,,C4,11,24,10,2022,381.01,96.4,GENETICO,semestrale,2022,
-9223372033074811753,-9223372036835156623,,,C4,11,24,10,2022,180.11,89.5,GENETICO,semestrale,2022,
-9223372033074811765,-9223372036830434842,,,C4,11,24,10,2022,17.11,97.3,GENETICO,semestrale,2022,
