,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,PagDiagnosiDiGravidanza,DataAnalisiPag,NumeroCampionePag,identifying_column
93,-9223372036723834816,-9223372036848637197,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,76.0,-9223372036848637197_2017-11-17
94,-9223372036723834830,-9223372036848624518,21,BZ,C4,11,20,11,2017,POSITIVA,2017-11-20,278.0,-9223372036848624518_2017-11-20
95,-9223372036723834859,-9223372036848629511,21,BZ,C4,11,6,11,2017,POSITIVA,2017-11-06,19.0,-9223372036848629511_2017-11-06
96,-9223372036723835106,-9223372036848653938,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,70.0,-9223372036848653938_2017-11-11
97,-9223372036723835107,-9223372036848659881,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,65.0,-9223372036848659881_2017-11-11
98,-9223372036723835112,-9223372036848662006,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,1.0,-9223372036848662006_2017-11-11
99,-9223372036723835154,-9223372036848626505,21,BZ,C4,11,8,11,2017,NEGATIVA,2017-11-08,60.0,-9223372036848626505_2017-11-08
100,-9223372036723835186,-9223372036848650979,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,302.0,-9223372036848650979_2017-11-16
101,-9223372036723835190,-9223372036848655035,21,BZ,C4,11,16,11,2017,RIVEDIBILE,2017-11-16,282.0,-9223372036848655035_2017-11-16
102,-9223372036723835192,-9223372036848657317,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,281.0,-9223372036848657317_2017-11-16
103,-9223372036723835233,-9223372036848649810,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,113.0,-9223372036848649810_2017-11-03
104,-9223372036723835238,-9223372036848659385,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,98.0,-9223372036848659385_2017-11-03
105,-9223372036723835391,-9223372036849131823,21,BZ,C4,11,12,11,2017,POSITIVA,2017-11-12,25.0,-9223372036849131823_2017-11-12
106,-9223372036723835458,-9223372036849507197,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,45.0,-9223372036849507197_2017-11-13
107,-9223372036723835510,-9223372036848623775,21,BZ,C4,11,25,11,2017,POSITIVA,2017-11-25,64.0,-9223372036848623775_2017-11-25
108,-9223372036723835516,-9223372036848648361,21,BZ,C4,11,25,11,2017,POSITIVA,2017-11-25,58.0,-9223372036848648361_2017-11-25
109,-9223372036723835517,-9223372036848653143,21,BZ,C4,11,25,11,2017,POSITIVA,2017-11-25,53.0,-9223372036848653143_2017-11-25
110,-9223372036723835519,-9223372036848661125,21,BZ,C4,11,25,11,2017,POSITIVA,2017-11-25,44.0,-9223372036848661125_2017-11-25
111,-9223372036723835591,-9223372036848661123,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,54.0,-9223372036848661123_2017-11-28
112,-9223372036723835718,-9223372036848662537,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,64.0,-9223372036848662537_2017-11-17
113,-9223372036723835752,-9223372036848644395,21,BZ,C4,11,6,11,2017,POSITIVA,2017-11-06,13.0,-9223372036848644395_2017-11-06
114,-9223372036723835759,-9223372036848653028,21,BZ,C4,11,6,11,2017,POSITIVA,2017-11-06,11.0,-9223372036848653028_2017-11-06
115,-9223372036723835918,-9223372036849139085,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,2.0,-9223372036849139085_2017-11-03
116,-9223372036723835934,-9223372036848607202,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,51.0,-9223372036848607202_2017-11-13
117,-9223372036723835944,-9223372036848645725,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,44.0,-9223372036848645725_2017-11-13
118,-9223372036723835948,-9223372036848654752,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,40.0,-9223372036848654752_2017-11-13
119,-9223372036723835950,-9223372036848656342,21,BZ,C4,11,13,11,2017,NEGATIVA,2017-11-13,38.0,-9223372036848656342_2017-11-13
120,-9223372036723836025,-9223372036848654739,21,BZ,C4,11,14,11,2017,POSITIVA,2017-11-14,80.0,-9223372036848654739_2017-11-14
121,-9223372036723836512,-9223372036848652196,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,72.0,-9223372036848652196_2017-11-28
122,-9223372036723836569,-9223372036848630154,21,BZ,C4,11,8,11,2017,POSITIVA,2017-11-08,44.0,-9223372036848630154_2017-11-08
123,-9223372036723836652,-9223372036848659579,21,BZ,C4,11,10,11,2017,POSITIVA,2017-11-10,39.0,-9223372036848659579_2017-11-10
124,-9223372036723836673,-9223372036848630178,21,BZ,C4,11,5,11,2017,POSITIVA,2017-11-05,55.0,-9223372036848630178_2017-11-05
125,-9223372036723836765,-9223372036848638145,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,126.0,-9223372036848638145_2017-11-03
126,-9223372036723836770,-9223372036848658323,21,BZ,C4,11,3,11,2017,NEGATIVA,2017-11-03,108.0,-9223372036848658323_2017-11-03
127,-9223372036723836773,-9223372036848647140,21,BZ,C4,11,8,11,2017,POSITIVA,2017-11-08,38.0,-9223372036848647140_2017-11-08
128,-9223372036723836794,-9223372036848641416,21,BZ,C4,11,30,11,2017,POSITIVA,2017-11-30,69.0,-9223372036848641416_2017-11-30
129,-9223372036723836866,-9223372036848651606,21,BZ,C4,11,14,11,2017,POSITIVA,2017-11-14,22.0,-9223372036848651606_2017-11-14
130,-9223372036723836947,-9223372036848655761,21,BZ,C4,11,25,11,2017,NEGATIVA,2017-11-25,47.0,-9223372036848655761_2017-11-25
131,-9223372036723837024,-9223372036848638166,21,BZ,C4,11,26,11,2017,POSITIVA,2017-11-26,90.0,-9223372036848638166_2017-11-26
132,-9223372036723837102,-9223372036848645354,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,34.0,-9223372036848645354_2017-11-03
133,-9223372036723837155,-9223372036848631139,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,145.0,-9223372036848631139_2017-11-16
134,-9223372036723837167,-9223372036848659027,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,126.0,-9223372036848659027_2017-11-16
135,-9223372036723837189,-9223372036848660600,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,43.0,-9223372036848660600_2017-11-04
136,-9223372036723837193,-9223372036848644950,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,13.0,-9223372036848644950_2017-11-04
137,-9223372036723837197,-9223372036849135504,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,11.0,-9223372036849135504_2017-11-04
138,-9223372036723837300,-9223372036848647717,21,BZ,C4,11,5,11,2017,POSITIVA,2017-11-05,50.0,-9223372036848647717_2017-11-05
139,-9223372036723837715,-9223372036848627360,21,BZ,C4,11,21,11,2017,POSITIVA,2017-11-21,67.0,-9223372036848627360_2017-11-21
140,-9223372036723837750,-9223372036848647741,21,BZ,C4,11,7,11,2017,NEGATIVA,2017-11-07,73.0,-9223372036848647741_2017-11-07
141,-9223372036723837752,-9223372036848653075,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,71.0,-9223372036848653075_2017-11-07
142,-9223372036723837753,-9223372036848656344,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,70.0,-9223372036848656344_2017-11-07
143,-9223372036723837823,-9223372036848624404,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,90.0,-9223372036848624404_2017-11-07
144,-9223372036723837826,-9223372036848635156,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,87.0,-9223372036848635156_2017-11-07
145,-9223372036723837833,-9223372036849134702,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,85.0,-9223372036849134702_2017-11-07
146,-9223372036723837840,-9223372036848649845,21,BZ,C4,11,29,11,2017,POSITIVA,2017-11-29,61.0,-9223372036848649845_2017-11-29
147,-9223372036723837877,-9223372036848659428,21,BZ,C4,11,6,11,2017,POSITIVA,2017-11-06,117.0,-9223372036848659428_2017-11-06
148,-9223372036723837890,-9223372036848620863,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,145.0,-9223372036848620863_2017-11-28
149,-9223372036723837903,-9223372036849122848,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,131.0,-9223372036849122848_2017-11-28
150,-9223372036723838054,-9223372036848634404,21,BZ,C4,11,24,11,2017,NEGATIVA,2017-11-24,53.0,-9223372036848634404_2017-11-24
151,-9223372036723838058,-9223372036848656363,21,BZ,C4,11,24,11,2017,POSITIVA,2017-11-24,48.0,-9223372036848656363_2017-11-24
152,-9223372036723838204,-9223372036848656345,21,BZ,C4,11,9,11,2017,NEGATIVA,2017-11-09,69.0,-9223372036848656345_2017-11-09
153,-9223372036723849543,-9223372036849604464,16,BG,C4,11,27,11,2017,POSITIVA,2017-11-27,72872927.0,-9223372036849604464_2017-11-27
154,-9223372036723849544,-9223372036850039754,16,BG,C4,11,27,11,2017,POSITIVA,2017-11-27,72872961.0,-9223372036850039754_2017-11-27
155,-9223372036723851626,-9223372036848654993,2,VC,C4,11,16,11,2017,POSITIVA,2017-11-16,10493398.0,-9223372036848654993_2017-11-16
