,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,GoodSeparationGose,CelluleSomaticheDifferenzialiDscc,DataAnalisiDscc,NumeroCampioneDscc,full_date,identifying_column
75,-9223372036733115149,-9223372036850152072,97,LC,C4,11,27,3,2018,,75.0,2018-03-27,76293664,2018-03-27,-9223372036850152072_2018-03-27
76,-9223372036733135460,-9223372036849751679,25,BL,C4,11,12,3,2018,1.0,79.0,2018-03-12,11384127,2018-03-12,-9223372036849751679_2018-03-12
77,-9223372036733168445,-9223372036848568764,24,VI,C4,11,22,3,2018,1.0,85.7,2018-03-22,11427676,2018-03-22,-9223372036848568764_2018-03-22
78,-9223372036733175005,-9223372036848552238,24,VI,C4,11,3,3,2018,1.0,72.0,2018-03-03,73603908,2018-03-03,-9223372036848552238_2018-03-03
79,-9223372036733195714,-9223372036848552297,25,BL,C4,11,5,3,2018,1.0,64.0,2018-03-05,73261901,2018-03-05,-9223372036848552297_2018-03-05
80,-9223372036733196993,-9223372036850615556,14,SO,C4,11,24,3,2018,,61.7,2018-03-24,74089493,2018-03-24,-9223372036850615556_2018-03-24
81,-9223372036733244814,-9223372036848557885,24,VI,C4,11,22,3,2018,1.0,72.3,2018-03-22,11428277,2018-03-22,-9223372036848557885_2018-03-22
82,-9223372036733249555,-9223372036850370153,25,BL,C4,11,14,3,2018,1.0,78.8,2018-03-14,73647892,2018-03-14,-9223372036850370153_2018-03-14
83,-9223372036733268041,-9223372036850577363,25,BL,C4,11,5,3,2018,1.0,74.8,2018-03-05,73261920,2018-03-05,-9223372036850577363_2018-03-05
84,-9223372036733280770,-9223372036848655117,25,BL,C4,11,5,3,2018,1.0,63.1,2018-03-05,73261971,2018-03-05,-9223372036848655117_2018-03-05
85,-9223372036733351226,-9223372036848630199,14,SO,C4,11,28,3,2018,,59.1,2018-03-28,73784601,2018-03-28,-9223372036848630199_2018-03-28
86,-9223372036733385190,-9223372036849884268,25,BL,C4,11,8,3,2018,1.0,56.5,2018-03-08,73644032,2018-03-08,-9223372036849884268_2018-03-08
87,-9223372036733398602,-9223372036848640291,25,BL,C4,11,14,3,2018,1.0,73.3,2018-03-14,73647815,2018-03-14,-9223372036848640291_2018-03-14
88,-9223372036733452928,-9223372036850184538,24,VI,C4,11,22,3,2018,1.0,65.9,2018-03-22,11427606,2018-03-22,-9223372036850184538_2018-03-22
89,-9223372036733480788,-9223372036848655104,14,SO,C4,11,28,3,2018,,37.0,2018-03-28,73784622,2018-03-28,-9223372036848655104_2018-03-28
90,-9223372036733483003,-9223372036850039763,16,BG,C4,11,29,3,2018,,61.1,2018-03-29,76273487,2018-03-29,-9223372036850039763_2018-03-29
91,-9223372036733484974,-9223372036848553915,25,BL,C4,11,5,3,2018,1.0,88.4,2018-03-05,73261914,2018-03-05,-9223372036848553915_2018-03-05
92,-9223372036733526382,-9223372036848662077,24,VI,C4,11,12,3,2018,1.0,68.2,2018-03-12,10845064,2018-03-12,-9223372036848662077_2018-03-12
93,-9223372036733568064,-9223372036848964584,14,SO,C4,11,28,3,2018,,72.1,2018-03-28,73784553,2018-03-28,-9223372036848964584_2018-03-28
94,-9223372036733589153,-9223372036850185602,24,VI,C4,11,22,3,2018,1.0,65.2,2018-03-22,11428058,2018-03-22,-9223372036850185602_2018-03-22
95,-9223372036733621561,-9223372036849352466,17,BS,C4,11,23,3,2018,,76.4,2018-03-23,76175419,2018-03-23,-9223372036849352466_2018-03-23
96,-9223372036733646239,-9223372036850185586,24,VI,C4,11,22,3,2018,1.0,80.6,2018-03-22,11428408,2018-03-22,-9223372036850185586_2018-03-22
97,-9223372036733720504,-9223372036849316765,14,SO,C4,11,14,3,2018,,57.9,2018-03-14,73790828,2018-03-14,-9223372036849316765_2018-03-14
98,-9223372036733770138,-9223372036849089109,25,BL,C4,11,30,3,2018,1.0,55.6,2018-03-30,11996518,2018-03-30,-9223372036849089109_2018-03-30
99,-9223372036733773922,-9223372036849112997,24,VI,C4,11,22,3,2018,1.0,82.5,2018-03-22,11427704,2018-03-22,-9223372036849112997_2018-03-22
100,-9223372036733783585,-9223372036849415873,17,BS,C4,11,8,3,2018,,31.3,2018-03-08,74379891,2018-03-08,-9223372036849415873_2018-03-08
101,-9223372036733803176,-9223372036848565425,24,VI,C4,11,22,3,2018,1.0,54.4,2018-03-22,11427794,2018-03-22,-9223372036848565425_2018-03-22
102,-9223372036733814489,-9223372036848561956,24,VI,C4,11,22,3,2018,1.0,82.8,2018-03-22,11428152,2018-03-22,-9223372036848561956_2018-03-22
103,-9223372036733822396,-9223372036850370190,25,BL,C4,11,14,3,2018,1.0,78.2,2018-03-14,73468739,2018-03-14,-9223372036850370190_2018-03-14
104,-9223372036733868796,-9223372036849082290,25,BL,C4,11,14,3,2018,1.0,62.2,2018-03-14,73647784,2018-03-14,-9223372036849082290_2018-03-14
105,-9223372036733884657,-9223372036848653917,24,VI,C4,11,22,3,2018,1.0,85.4,2018-03-22,11427594,2018-03-22,-9223372036848653917_2018-03-22
106,-9223372036733898589,-9223372036850577524,25,BL,C4,11,5,3,2018,1.0,54.0,2018-03-05,73261895,2018-03-05,-9223372036850577524_2018-03-05
107,-9223372036733978353,-9223372036850370196,25,BL,C4,11,14,3,2018,1.0,79.0,2018-03-14,73647929,2018-03-14,-9223372036850370196_2018-03-14
108,-9223372036733994084,-9223372036850185485,24,VI,C4,11,22,3,2018,1.0,69.2,2018-03-22,11428053,2018-03-22,-9223372036850185485_2018-03-22
109,-9223372036734064858,-9223372036850610598,17,BS,C4,11,8,3,2018,,48.4,2018-03-08,74379792,2018-03-08,-9223372036850610598_2018-03-08
110,-9223372036734071057,-9223372036848632834,97,LC,C4,11,8,3,2018,,72.7,2018-03-08,73541820,2018-03-08,-9223372036848632834_2018-03-08
111,-9223372036734097443,-9223372036849631350,24,VI,C4,11,22,3,2018,1.0,76.3,2018-03-22,11428005,2018-03-22,-9223372036849631350_2018-03-22
112,-9223372036734111726,-9223372036849352468,17,BS,C4,11,23,3,2018,,88.1,2018-03-23,76175231,2018-03-23,-9223372036849352468_2018-03-23
113,-9223372036734111909,-9223372036850152065,97,LC,C4,11,27,3,2018,,81.4,2018-03-27,76293748,2018-03-27,-9223372036850152065_2018-03-27
114,-9223372036734122377,-9223372036850611230,17,BS,C4,11,8,3,2018,,39.5,2018-03-08,74380007,2018-03-08,-9223372036850611230_2018-03-08
115,-9223372036734139231,-9223372036849442858,17,BS,C4,11,23,3,2018,,72.4,2018-03-23,76175125,2018-03-23,-9223372036849442858_2018-03-23
