,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza,full_date,identifying_column
68,-9223372036216456268,-9223372036848653938,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA,2017-11-11,-9223372036848653938_2017-11-11
69,-9223372036216456289,-9223372036848659385,21,BZ,C4,11,3,11,2017,2017-11-03,POSITIVA,2017-11-03,-9223372036848659385_2017-11-03
70,-9223372036216456322,-9223372036849507197,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA,2017-11-13,-9223372036849507197_2017-11-13
71,-9223372036216456719,-9223372036848661123,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848661123_2017-11-28
72,-9223372036216456746,-9223372036848653028,21,BZ,C4,11,6,11,2017,2017-11-06,POSITIVA,2017-11-06,-9223372036848653028_2017-11-06
73,-9223372036216456774,-9223372036848656342,21,BZ,C4,11,13,11,2017,2017-11-13,NEGATIVA,2017-11-13,-9223372036848656342_2017-11-13
74,-9223372036216457663,-9223372036848638145,21,BZ,C4,11,3,11,2017,2017-11-03,POSITIVA,2017-11-03,-9223372036848638145_2017-11-03
75,-9223372036216457670,-9223372036848641416,21,BZ,C4,11,30,11,2017,2017-11-30,POSITIVA,2017-11-30,-9223372036848641416_2017-11-30
76,-9223372036216458073,-9223372036848655761,21,BZ,C4,11,25,11,2017,2017-11-25,NEGATIVA,2017-11-25,-9223372036848655761_2017-11-25
77,-9223372036216458114,-9223372036848631139,21,BZ,C4,11,16,11,2017,2017-11-16,POSITIVA,2017-11-16,-9223372036848631139_2017-11-16
78,-9223372036216458579,-9223372036848647741,21,BZ,C4,11,7,11,2017,2017-11-07,NEGATIVA,2017-11-07,-9223372036848647741_2017-11-07
79,-9223372036216458996,-9223372036848656363,21,BZ,C4,11,24,11,2017,2017-11-24,POSITIVA,2017-11-24,-9223372036848656363_2017-11-24
