,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
103,-9223372036850354688,-9223372035801689609,30,UD,C4,11,Acidi Grassi Misti,1.34,g/100 g,15,10,2021,-9223372036850354688_2021
104,-9223372036849457856,-9223372035773981870,24,VI,C4,11,Acidi Grassi Misti,0.964,g/100 g,22,10,2021,-9223372036849457856_2021
106,-9223372036850346263,-9223372035811103033,30,UD,C4,11,Acidi Grassi Misti,1.297,g/100 g,7,10,2021,-9223372036850346263_2021
107,-9223372036849226435,-9223372035795841637,30,UD,C4,11,Acidi Grassi Misti,1.248,g/100 g,20,10,2021,-9223372036849226435_2021
109,-9223372036849226417,-9223372035772790081,30,UD,C4,11,Acidi Grassi Misti,1.116,g/100 g,23,10,2021,-9223372036849226417_2021
111,-9223372036849285698,-9223372035809816806,25,BL,C4,11,Acidi Grassi Misti,0.967,g/100 g,8,10,2021,-9223372036849285698_2021
113,-9223372036850526956,-9223372035799471352,25,BL,C4,11,Acidi Grassi Misti,1.668,g/100 g,19,10,2021,-9223372036850526956_2021
126,-9223372036850354698,-9223372035801690434,30,UD,C4,11,Acidi Grassi Misti,1.192,g/100 g,15,10,2021,-9223372036850354698_2021
134,-9223372036850346200,-9223372035811107278,30,UD,C4,11,Acidi Grassi Misti,0.815,g/100 g,7,10,2021,-9223372036850346200_2021
137,-9223372036847965776,-9223372035254135324,21,BZ,C4,11,Acidi Grassi Misti,1.498,g/100 g,1,12,2021,-9223372036847965776_2021
138,-9223372036846489136,-9223372035244613192,21,BZ,C4,11,Acidi Grassi Misti,1.15,g/100 g,9,12,2021,-9223372036846489136_2021
139,-9223372036846325700,-9223372035244548579,21,BZ,C4,11,Acidi Grassi Misti,1.42,g/100 g,4,12,2021,-9223372036846325700_2021
140,-9223372036848125930,-9223372035234021186,21,BZ,C4,11,Acidi Grassi Misti,1.29,g/100 g,11,12,2021,-9223372036848125930_2021
141,-9223372036848116592,-9223372035233983126,21,BZ,C4,11,Acidi Grassi Misti,1.215,g/100 g,14,12,2021,-9223372036848116592_2021
142,-9223372036848615316,-9223372035233872245,21,BZ,C4,11,Acidi Grassi Misti,1.197,g/100 g,11,12,2021,-9223372036848615316_2021
143,-9223372036847932588,-9223372035223530042,21,BZ,C4,11,Acidi Grassi Misti,1.226,g/100 g,18,12,2021,-9223372036847932588_2021
144,-9223372036846488926,-9223372035223520266,21,BZ,C4,11,Acidi Grassi Misti,1.122,g/100 g,19,12,2021,-9223372036846488926_2021
145,-9223372036846487515,-9223372035223505122,21,BZ,C4,11,Acidi Grassi Misti,1.588,g/100 g,19,12,2021,-9223372036846487515_2021
146,-9223372036847947409,-9223372035223493745,21,BZ,C4,11,Acidi Grassi Misti,1.289,g/100 g,17,12,2021,-9223372036847947409_2021
147,-9223372036848612787,-9223372035223477786,21,BZ,C4,11,Acidi Grassi Misti,1.65,g/100 g,22,12,2021,-9223372036848612787_2021
148,-9223372036847964672,-9223372035223477593,21,BZ,C4,11,Acidi Grassi Misti,1.193,g/100 g,22,12,2021,-9223372036847964672_2021
149,-9223372036846912620,-9223372035216513477,21,BZ,C4,11,Acidi Grassi Misti,1.473,g/100 g,25,12,2021,-9223372036846912620_2021
150,-9223372036848647757,-9223372035099224305,21,BZ,C4,11,Acidi Grassi Misti,1.38,g/100 g,31,12,2021,-9223372036848647757_2021
151,-9223372036848121272,-9223372035099212253,21,BZ,C4,11,Acidi Grassi Misti,1.686,g/100 g,27,12,2021,-9223372036848121272_2021
152,-9223372036847950513,-9223372035099145112,21,BZ,C4,11,Acidi Grassi Misti,0.937,g/100 g,28,12,2021,-9223372036847950513_2021
153,-9223372036848127207,-9223372035089060750,21,BZ,C4,11,Acidi Grassi Misti,1.95,g/100 g,23,12,2021,-9223372036848127207_2021
154,-9223372036848647905,-9223372035254122844,21,BZ,C4,11,Acidi Grassi Misti,0.914,g/100 g,1,12,2021,-9223372036848647905_2021
155,-9223372036847941746,-9223372035254122286,21,BZ,C4,11,Acidi Grassi Misti,1.162,g/100 g,1,12,2021,-9223372036847941746_2021
156,-9223372036848653153,-9223372035244632816,21,BZ,C4,11,Acidi Grassi Misti,1.567,g/100 g,5,12,2021,-9223372036848653153_2021
157,-9223372036848126962,-9223372035244613220,21,BZ,C4,11,Acidi Grassi Misti,1.117,g/100 g,9,12,2021,-9223372036848126962_2021
158,-9223372036848610976,-9223372035244601005,21,BZ,C4,11,Acidi Grassi Misti,1.573,g/100 g,7,12,2021,-9223372036848610976_2021
159,-9223372036848607996,-9223372035244517214,21,BZ,C4,11,Acidi Grassi Misti,1.178,g/100 g,8,12,2021,-9223372036848607996_2021
160,-9223372036848622495,-9223372035233954601,21,BZ,C4,11,Acidi Grassi Misti,1.415,g/100 g,11,12,2021,-9223372036848622495_2021
161,-9223372036847976558,-9223372035223543356,21,BZ,C4,11,Acidi Grassi Misti,1.503,g/100 g,23,12,2021,-9223372036847976558_2021
162,-9223372036846491553,-9223372035223500610,21,BZ,C4,11,Acidi Grassi Misti,1.189,g/100 g,16,12,2021,-9223372036846491553_2021
163,-9223372036846932730,-9223372035223493689,21,BZ,C4,11,Acidi Grassi Misti,1.321,g/100 g,17,12,2021,-9223372036846932730_2021
164,-9223372036848122428,-9223372035223477758,21,BZ,C4,11,Acidi Grassi Misti,1.385,g/100 g,22,12,2021,-9223372036848122428_2021
165,-9223372036849240998,-9223372035220151458,25,BL,C4,11,Acidi Grassi Misti,1.493,g/100 g,27,12,2021,-9223372036849240998_2021
166,-9223372036848625490,-9223372035216483116,21,BZ,C4,11,Acidi Grassi Misti,1.342,g/100 g,25,12,2021,-9223372036848625490_2021
167,-9223372036847952838,-9223372035099203412,21,BZ,C4,11,Acidi Grassi Misti,1.136,g/100 g,29,12,2021,-9223372036847952838_2021
168,-9223372036846927033,-9223372035099151673,21,BZ,C4,11,Acidi Grassi Misti,1.135,g/100 g,31,12,2021,-9223372036846927033_2021
169,-9223372036848612998,-9223372035254122568,21,BZ,C4,11,Acidi Grassi Misti,1.233,g/100 g,1,12,2021,-9223372036848612998_2021
170,-9223372036848619087,-9223372035244644294,21,BZ,C4,11,Acidi Grassi Misti,1.267,g/100 g,5,12,2021,-9223372036848619087_2021
171,-9223372036848618382,-9223372035244623729,21,BZ,C4,11,Acidi Grassi Misti,1.383,g/100 g,4,12,2021,-9223372036848618382_2021
172,-9223372036848623387,-9223372035244623673,21,BZ,C4,11,Acidi Grassi Misti,0.955,g/100 g,4,12,2021,-9223372036848623387_2021
173,-9223372036847906787,-9223372035244607317,21,BZ,C4,11,Acidi Grassi Misti,1.569,g/100 g,8,12,2021,-9223372036847906787_2021
174,-9223372036848636538,-9223372035234021072,21,BZ,C4,11,Acidi Grassi Misti,1.48,g/100 g,14,12,2021,-9223372036848636538_2021
175,-9223372036846492680,-9223372035234020816,21,BZ,C4,11,Acidi Grassi Misti,1.43,g/100 g,14,12,2021,-9223372036846492680_2021
176,-9223372036846488935,-9223372035233990256,21,BZ,C4,11,Acidi Grassi Misti,1.011,g/100 g,14,12,2021,-9223372036846488935_2021
177,-9223372036847946277,-9223372035233985798,21,BZ,C4,11,Acidi Grassi Misti,0.952,g/100 g,8,12,2021,-9223372036847946277_2021
178,-9223372036848116595,-9223372035233983210,21,BZ,C4,11,Acidi Grassi Misti,1.313,g/100 g,14,12,2021,-9223372036848116595_2021
179,-9223372036848117059,-9223372035223535371,21,BZ,C4,11,Acidi Grassi Misti,1.044,g/100 g,17,12,2021,-9223372036848117059_2021
180,-9223372036848638705,-9223372035223528103,21,BZ,C4,11,Acidi Grassi Misti,0.928,g/100 g,22,12,2021,-9223372036848638705_2021
181,-9223372036846127411,-9223372035223518588,21,BZ,C4,11,Acidi Grassi Misti,1.125,g/100 g,19,12,2021,-9223372036846127411_2021
182,-9223372036846489171,-9223372035223508675,21,BZ,C4,11,Acidi Grassi Misti,1.292,g/100 g,16,12,2021,-9223372036846489171_2021
183,-9223372036848121383,-9223372035223495828,21,BZ,C4,11,Acidi Grassi Misti,1.192,g/100 g,23,12,2021,-9223372036848121383_2021
184,-9223372036848639085,-9223372035216499929,21,BZ,C4,11,Acidi Grassi Misti,1.551,g/100 g,27,12,2021,-9223372036848639085_2021
