,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,NumeroFemmineNateMorte,NumeroMaschiNatiMorti,DataAborto,TipoAborto,identifying_column
60,-9223372035244019131,-9223372036848597799,22.0,TN,C4,11,26,11,2021,1.0,,2021-11-26,T,-9223372036848597799_2021-11-26
61,-9223372034317103396,-9223372036848609517,13.0,CO,C4,11,1,12,2021,,,2021-12-01,P,-9223372036848609517_2021-12-01
62,-9223372035219546127,-9223372036847923534,22.0,TN,C4,11,9,12,2021,1.0,,2021-12-09,T,-9223372036847923534_2021-12-09
63,-9223372034326464542,-9223372036846254855,24.0,VI,C4,11,13,1,2022,1.0,,2022-01-13,T,-9223372036846254855_2022-01-13
64,-9223372034454609492,-9223372036850526956,25.0,BL,C4,11,25,1,2022,,,2022-01-25,P,-9223372036850526956_2022-01-25
65,-9223372034455167829,-9223372036850039796,16.0,BG,C4,11,28,1,2022,1.0,,2022-01-28,T,-9223372036850039796_2022-01-28
66,-9223372033781204161,-9223372036848006953,14.0,SO,C4,11,20,2,2022,1.0,,2022-02-20,T,-9223372036848006953_2022-02-20
67,-9223372033781204255,-9223372036848620868,14.0,SO,C4,11,3,3,2022,1.0,,2022-03-03,T,-9223372036848620868_2022-03-03
68,-9223372033761686435,-9223372036832470293,30.0,UD,C4,11,29,4,2022,,1.0,2022-04-29,T,-9223372036832470293_2022-04-29
69,-9223372033781204069,-9223372036847950571,14.0,SO,C4,11,6,4,2022,,1.0,2022-04-06,T,-9223372036847950571_2022-04-06
70,-9223372033639718866,-9223372036850381396,24.0,VI,C4,11,10,6,2022,,,2022-06-10,P,-9223372036850381396_2022-06-10
73,-9223372033172335157,-9223372036850185852,24.0,VI,C4,11,20,7,2022,1.0,,2022-07-20,T,-9223372036850185852_2022-07-20
74,-9223372033298744213,-9223372036848652750,21.0,BZ,C4,11,11,7,2022,,,2022-07-11,T,-9223372036848652750_2022-07-11
75,-9223372032752701218,-9223372036834686523,14.0,SO,C4,11,28,12,2022,,1.0,2022-12-28,T,-9223372036834686523_2022-12-28
76,-9223372032944589601,-9223372036848639291,22.0,TN,C4,11,8,12,2022,,1.0,2022-12-08,T,-9223372036848639291_2022-12-08
77,-9223372032559254854,-9223372036809171095,22.0,TN,C4,11,20,1,2023,,1.0,2023-01-20,T,-9223372036809171095_2023-01-20
78,-9223372032611970930,-9223372036849236587,25.0,BL,C4,11,15,1,2023,1.0,,2023-01-15,T,-9223372036849236587_2023-01-15
79,-9223372032715654866,-9223372036850186277,24.0,VI,C4,11,9,1,2023,1.0,,2023-01-09,T,-9223372036850186277_2023-01-09
80,-9223372032655898313,-9223372036848127411,14.0,SO,C4,11,1,2,2023,,1.0,2023-02-01,T,-9223372036848127411_2023-02-01
81,-9223372032265909058,-9223372036850280161,13.0,CO,C4,11,5,4,2023,,1.0,2023-04-05,T,-9223372036850280161_2023-04-05
82,-9223372032329914119,-9223372036845177991,22.0,TN,C4,11,17,4,2023,,,2023-04-17,P,-9223372036845177991_2023-04-17
83,-9223372031304152408,-9223372036845702909,21.0,BZ,C4,11,10,9,2023,,,2023-09-10,T,-9223372036845702909_2023-09-10
84,-9223372031509124446,-9223372036848113803,22.0,TN,C4,11,15,9,2023,,1.0,2023-09-15,T,-9223372036848113803_2023-09-15
85,-9223372030016034068,-9223372036847525635,17.0,BS,C4,11,25,11,2023,1.0,,2023-11-25,T,-9223372036847525635_2023-11-25
86,-9223372031113697665,-9223372036845054507,30.0,UD,C4,11,20,11,2023,,,2023-11-20,P,-9223372036845054507_2023-11-20
87,-9223372031315597607,-9223372036847886839,2.0,VC,C4,11,10,11,2023,,,2023-11-10,P,-9223372036847886839_2023-11-10
88,-9223372030929942796,-9223372036849203076,2.0,VC,C4,11,20,12,2023,,,2023-12-20,P,-9223372036849203076_2023-12-20
89,-9223372030679630845,-9223372036848591190,22.0,TN,C4,11,17,1,2024,,1.0,2024-01-17,T,-9223372036848591190_2024-01-17
90,-9223372030508125539,-9223372036844713994,22.0,TN,C4,11,21,2,2024,,1.0,2024-02-21,T,-9223372036844713994_2024-02-21
91,-9223372030548813970,-9223372036832398697,30.0,UD,C4,11,14,2,2024,1.0,,2024-02-14,T,-9223372036832398697_2024-02-14
92,-9223372030627154832,-9223372036835115115,24.0,VI,C4,11,9,2,2024,1.0,,2024-02-09,T,-9223372036835115115_2024-02-09
93,-9223372030091139197,-9223372036848633332,97.0,LC,C4,11,9,4,2024,,1.0,2024-04-09,T,-9223372036848633332_2024-04-09
94,-9223372030095894406,-9223372036850185920,24.0,VI,C4,11,16,4,2024,,1.0,2024-04-16,T,-9223372036850185920_2024-04-16
95,-9223372030107501887,-9223372036849356394,97.0,LC,C4,11,22,4,2024,,1.0,2024-04-22,T,-9223372036849356394_2024-04-22
96,-9223372030211512541,-9223372036849284443,1.0,TO,C4,11,10,4,2024,,1.0,2024-04-10,T,-9223372036849284443_2024-04-10
97,-9223372030050623823,-9223372036845250122,17.0,BS,C4,11,20,5,2024,,,2024-05-20,P,-9223372036845250122_2024-05-20
98,-9223372029889454608,-9223372036845120234,22.0,TN,C4,11,24,6,2024,,1.0,2024-06-24,T,-9223372036845120234_2024-06-24
99,-9223372029449009454,-9223372036848591709,22.0,TN,C4,11,14,7,2024,,,2024-07-14,P,-9223372036848591709_2024-07-14
100,-9223372029585443080,-9223372036828942505,21.0,BZ,C4,11,18,7,2024,,,2024-07-18,T,-9223372036828942505_2024-07-18
101,-9223372029741708534,-9223372036845316228,16.0,BG,C4,11,1,7,2024,,1.0,2024-07-01,T,-9223372036845316228_2024-07-01
102,-9223372029500770789,-9223372036832303032,14.0,SO,C4,11,11,8,2024,,,2024-08-11,P,-9223372036832303032_2024-08-11
103,-9223372029339148847,-9223372036808116176,1.0,TO,C4,11,1,9,2024,,1.0,2024-09-01,T,-9223372036808116176_2024-09-01
104,-9223372029363944616,-9223372036848595787,22.0,TN,C4,11,14,9,2024,,1.0,2024-09-14,T,-9223372036848595787_2024-09-14
