,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
181,-9223372036848643476,-9223372036794524195,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.492,g/100 g,15,11,2017,-9223372036848643476_2017
188,-9223372036848623798,-9223372036794456822,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.908,g/100 g,7,11,2017,-9223372036848623798_2017
191,-9223372036849155954,-9223372036791521014,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.234,g/100 g,4,11,2017,-9223372036849155954_2017
194,-9223372036848620865,-9223372036790596031,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),1.883,g/100 g,24,11,2017,-9223372036848620865_2017
195,-9223372036848631164,-9223372036790593562,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.653,g/100 g,9,11,2017,-9223372036848631164_2017
201,-9223372036848647706,-9223372036794520305,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),3.342,g/100 g,6,11,2017,-9223372036848647706_2017
205,-9223372036848642773,-9223372036794462124,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.504,g/100 g,10,11,2017,-9223372036848642773_2017
208,-9223372036848645004,-9223372036794430334,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.283,g/100 g,24,11,2017,-9223372036848645004_2017
209,-9223372036848639192,-9223372036794407761,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.341,g/100 g,27,11,2017,-9223372036848639192_2017
211,-9223372036848658407,-9223372036794379318,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.761,g/100 g,26,11,2017,-9223372036848658407_2017
213,-9223372036848632836,-9223372036791528793,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.335,g/100 g,27,11,2017,-9223372036848632836_2017
224,-9223372036848646441,-9223372036794464564,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.272,g/100 g,28,11,2017,-9223372036848646441_2017
227,-9223372036848645665,-9223372036794390402,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),1.923,g/100 g,26,11,2017,-9223372036848645665_2017
229,-9223372036848652568,-9223372036791197510,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),3.003,g/100 g,12,11,2017,-9223372036848652568_2017
232,-9223372036848654019,-9223372036790580278,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.276,g/100 g,28,11,2017,-9223372036848654019_2017
233,-9223372036848654491,-9223372036790562459,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.372,g/100 g,28,11,2017,-9223372036848654491_2017
234,-9223372036848034032,-9223372036794524179,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.747,g/100 g,15,11,2017,-9223372036848034032_2017
