,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcssIndiceCelluleSomatiche,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,NumeroDiFiglie,NumeroDiAziende,AreaGeograficaEsteraDiInfluenzaSuCalcolo,identifying_column
7961,-9223372035851944580,-9223372036847950587,,,C4,11,6,5,2021,101.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847950587_2021
7962,-9223372035851944592,-9223372036847932614,,,C4,11,6,5,2021,105.0,55.0,GENETICO,Semestrale,2021,,,,-9223372036847932614_2021
7963,-9223372035851944604,-9223372036847969414,,,C4,11,6,5,2021,105.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847969414_2021
7964,-9223372035851944616,-9223372036847952837,,,C4,11,6,5,2021,94.0,65.0,GENETICO,Semestrale,2021,,,,-9223372036847952837_2021
7965,-9223372035851944628,-9223372036847950634,,,C4,11,6,5,2021,105.0,66.0,GENETICO,Semestrale,2021,,,,-9223372036847950634_2021
7966,-9223372035851944640,-9223372036847941391,,,C4,11,6,5,2021,107.0,54.0,GENETICO,Semestrale,2021,,,,-9223372036847941391_2021
7967,-9223372035851944652,-9223372036847984776,,,C4,11,6,5,2021,97.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847984776_2021
7968,-9223372035851944664,-9223372036847940432,,,C4,11,6,5,2021,104.0,56.0,GENETICO,Semestrale,2021,,,,-9223372036847940432_2021
7969,-9223372035851944676,-9223372036847941770,,,C4,11,6,5,2021,105.0,56.0,GENETICO,Semestrale,2021,,,,-9223372036847941770_2021
7970,-9223372035851944688,-9223372036847936319,,,C4,11,6,5,2021,98.0,56.0,GENETICO,Semestrale,2021,,,,-9223372036847936319_2021
7971,-9223372035851944700,-9223372036835156049,,,C4,11,6,5,2021,101.0,45.0,GENETICO,Semestrale,2021,,,,-9223372036835156049_2021
7972,-9223372035851944712,-9223372036846942042,,,C4,11,6,5,2021,100.0,59.0,GENETICO,Semestrale,2021,,,,-9223372036846942042_2021
7973,-9223372035851944724,-9223372036847954028,,,C4,11,6,5,2021,98.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847954028_2021
7974,-9223372035851944736,-9223372036847943572,,,C4,11,6,5,2021,107.0,65.0,GENETICO,Semestrale,2021,,,,-9223372036847943572_2021
7975,-9223372035851944748,-9223372036847964282,,,C4,11,6,5,2021,108.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847964282_2021
7976,-9223372035851944760,-9223372036847987685,,,C4,11,6,5,2021,102.0,51.0,GENETICO,Semestrale,2021,,,,-9223372036847987685_2021
7977,-9223372035851944772,-9223372036847938372,,,C4,11,6,5,2021,105.0,49.0,GENETICO,Semestrale,2021,,,,-9223372036847938372_2021
7978,-9223372035851944784,-9223372036847955235,,,C4,11,6,5,2021,102.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847955235_2021
7979,-9223372035851944796,-9223372036847948484,,,C4,11,6,5,2021,102.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847948484_2021
