idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataAsciutta
-9223372036220074896,-9223372036848634890,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220075170,-9223372036848602142,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220075630,-9223372036848658370,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220075633,-9223372036848604650,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220076175,-9223372036848651567,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220076186,-9223372036848653778,21,BZ,C4,11,28,11,2017,2017-11-28
-9223372036220076639,-9223372036848642473,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220076660,-9223372036848647706,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220076751,-9223372036847855692,22,TN,C4,11,3,11,2017,2017-11-03
-9223372036220077272,-9223372036848603083,22,TN,C4,11,10,11,2017,2017-11-10
-9223372036220077519,-9223372036848660505,21,BZ,C4,11,18,11,2017,2017-11-18
-9223372036220077528,-9223372036848631788,21,BZ,C4,11,15,11,2017,2017-11-15
-9223372036220077530,-9223372036848640620,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220077547,-9223372036848634341,21,BZ,C4,11,9,11,2017,2017-11-09
-9223372036220077549,-9223372036848640613,21,BZ,C4,11,4,11,2017,2017-11-04
-9223372036220077975,-9223372036848643505,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220077977,-9223372036848636691,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220078810,-9223372036848632812,21,BZ,C4,11,9,11,2017,2017-11-09
-9223372036220079017,-9223372036848661908,25,BL,C4,11,7,11,2017,2017-11-07
-9223372036220079208,-9223372036848639122,22,TN,C4,11,15,11,2017,2017-11-15
-9223372036220079215,-9223372036848661856,22,TN,C4,11,20,11,2017,2017-11-20
